#      date    value 
 2021-01-01 285.0219 
 2021-01-02 287.0015 
 2021-01-03 288.0276 
 2021-01-04 289.0987 
 2021-01-05 288.7845 
 2021-01-06  286.512 
 2021-01-07 286.2543 
 2021-01-08 285.5124 
 2021-01-09 285.1041 
 2021-01-10 285.1968 
 2021-01-11 285.4778 
 2021-01-12 286.2826 
 2021-01-13 286.3766 
 2021-01-14 286.4141 
 2021-01-15 285.9922 
 2021-01-16 283.2332 
 2021-01-17 284.5439 
 2021-01-18  285.862 
 2021-01-19 285.4831 
 2021-01-20 287.4771 
 2021-01-21 288.9658 
 2021-01-22 290.9226 
 2021-01-23  287.881 
 2021-01-24  286.083 
 2021-01-25 286.2992 
 2021-01-26 286.0325 
 2021-01-27 286.4358 
 2021-01-28 286.7318 
 2021-01-29 286.8394 
 2021-01-30 287.3074 
 2021-01-31 289.4888 
 2021-02-01 289.8541 
 2021-02-02 290.6082 
 2021-02-03 290.4746 
 2021-02-04 288.5339 
 2021-02-05 288.5995 
 2021-02-06 289.3052 
 2021-02-07 291.3708 
 2021-02-08 292.3429 
 2021-02-09 292.3459 
 2021-02-10 292.1151 
 2021-02-11 292.8781 
 2021-02-12 294.1099 
 2021-02-13 294.6726 
 2021-02-14 294.6399 
 2021-02-15 294.3536 
 2021-02-16 293.5209 
 2021-02-17 293.4426 
 2021-02-18 294.0127 
 2021-02-19 294.0999 
 2021-02-20 294.3253 
 2021-02-21   294.68 
 2021-02-22  297.457 
 2021-02-23 296.8287 
 2021-02-24 296.9858 
 2021-02-25 297.4295 
 2021-02-26 299.8716 
 2021-02-27 295.6328 
 2021-02-28 294.4048 
 2021-03-01  295.037 
 2021-03-02 296.1373 
 2021-03-03 297.3236 
 2021-03-04 296.9845 
 2021-03-05 297.0049 
 2021-03-06 299.9493 
 2021-03-07  298.813 
 2021-03-08 298.3269 
 2021-03-09 297.9281 
 2021-03-10  298.748 
 2021-03-11 300.3858 
 2021-03-12 296.5791 
 2021-03-13 296.7885 
 2021-03-14 298.1051 
 2021-03-15 299.0739 
 2021-03-16 300.2584 
 2021-03-17 299.8583 
 2021-03-18 299.2174 
 2021-03-19 299.2793 
 2021-03-20 300.1586 
 2021-03-21 301.1535 
 2021-03-22 298.8223 
 2021-03-23 296.2038 
 2021-03-24 296.3694 
 2021-03-25 297.5007 
 2021-03-26 299.6583 
 2021-03-27 301.5458 
 2021-03-28 305.1152 
 2021-03-29 305.6306 
 2021-03-30 301.8505 
 2021-03-31 300.0306 
 2021-04-01 299.9484 
 2021-04-02 300.3172 
 2021-04-03 301.5314 
 2021-04-04 303.0926 
 2021-04-05 303.0103 
 2021-04-06 301.0977 
 2021-04-07 298.2784 
 2021-04-08 299.6036 
 2021-04-09 301.8465 
 2021-04-10 302.7538 
 2021-04-11 303.8389 
 2021-04-12 304.4783 
 2021-04-13 304.4713 
 2021-04-14 305.1341 
 2021-04-15 304.2631 
 2021-04-16 299.0068 
 2021-04-17 299.9279 
 2021-04-18 303.0093 
 2021-04-19 303.8501 
 2021-04-20 296.8694 
 2021-04-21 297.4841 
 2021-04-22  302.775 
 2021-04-23 298.8812 
 2021-04-24 300.0161 
 2021-04-25 303.3652 
 2021-04-26 305.5631 
 2021-04-27 306.6314 
 2021-04-28 307.4715 
 2021-04-29 306.2211 
 2021-04-30 306.0435 
 2021-05-01 306.1229 
 2021-05-02 305.1415 
 2021-05-03 306.2465 
 2021-05-04 306.5795 
 2021-05-05  305.762 
 2021-05-06 304.1328 
 2021-05-07 303.9043 
 2021-05-08  306.231 
 2021-05-09 307.6582 
 2021-05-10 307.5067 
 2021-05-11 307.1536 
 2021-05-12 305.5074 
 2021-05-13 305.1962 
 2021-05-14 305.2945 
 2021-05-15 305.9734 
 2021-05-16 306.7563 
 2021-05-17 307.2269 
 2021-05-18 303.0089 
 2021-05-19 301.2292 
 2021-05-20 306.3156 
 2021-05-21  307.003 
 2021-05-22 306.3031 
 2021-05-23 303.7584 
 2021-05-24 306.0047 
 2021-05-25 307.9396 
 2021-05-26 308.7082 
 2021-05-27 310.4789 
 2021-05-28 311.3147 
 2021-05-29 311.4918 
 2021-05-30 311.2541 
 2021-05-31 309.2354 
 2021-06-01 306.5112 
 2021-06-02  306.468 
 2021-06-03  306.984 
 2021-06-04 307.7529 
 2021-06-05 307.3458 
 2021-06-06 308.2422 
 2021-06-07  310.757 
 2021-06-08 310.4609 
 2021-06-09 310.2818 
 2021-06-10  310.094 
 2021-06-11 309.6959 
 2021-06-12 309.7557 
 2021-06-13   309.39 
 2021-06-14 306.7402 
 2021-06-15 305.8359 
 2021-06-16 304.3744 
 2021-06-17 304.7682 
 2021-06-18 307.0542 
 2021-06-19 308.5125 
 2021-06-20 308.8349 
 2021-06-21 308.4037 
 2021-06-22 309.7044 
 2021-06-23 310.4774 
 2021-06-24 310.4887 
 2021-06-25 310.1016 
 2021-06-26 308.7988 
 2021-06-27 309.0433 
 2021-06-28 310.0347 
 2021-06-29 311.9098 
 2021-06-30 310.7231 
 2021-07-01 309.6662 
 2021-07-02 309.1378 
 2021-07-03 308.9712 
 2021-07-04 309.1978 
 2021-07-05 309.5146 
 2021-07-06 310.4082 
 2021-07-07 310.9395 
 2021-07-08 310.2732 
 2021-07-09 310.1436 
 2021-07-10 310.8282 
 2021-07-11 312.0653 
 2021-07-12  308.213 
 2021-07-13 305.6321 
 2021-07-14  307.023 
 2021-07-15 307.6128 
 2021-07-16 309.0124 
 2021-07-17 310.5737 
 2021-07-18 310.3142 
 2021-07-19 308.1484 
 2021-07-20 306.8667 
 2021-07-21 306.2499 
 2021-07-22 306.9806 
 2021-07-23 307.4537 
 2021-07-24 308.3133 
 2021-07-25 311.1402 
 2021-07-26 309.1335 
 2021-07-27 305.9553 
 2021-07-28 306.0068 
 2021-07-29 306.7029 
 2021-07-30 306.2392 
 2021-07-31 306.2133 
 2021-08-01 306.8848 
 2021-08-02 307.9475 
 2021-08-03 308.7823 
 2021-08-04 308.5547 
 2021-08-05  309.614 
 2021-08-06 309.4198 
 2021-08-07 310.1572 
 2021-08-08 310.0753 
 2021-08-09 309.6537 
 2021-08-10 308.1176 
 2021-08-11 307.4092 
 2021-08-12  307.649 
 2021-08-13 307.6082 
