#      date     time    value 
 2026-05-01 00:00:00 295.8401 
 2026-05-01 01:00:00 296.0031 
 2026-05-01 02:00:00 296.8662 
 2026-05-01 03:00:00  297.026 
 2026-05-01 04:00:00 297.5163 
 2026-05-01 05:00:00 299.4128 
 2026-05-01 06:00:00 302.4197 
 2026-05-01 07:00:00 303.0251 
 2026-05-01 08:00:00 304.7583 
 2026-05-01 09:00:00 305.2771 
 2026-05-01 10:00:00 305.6025 
 2026-05-01 11:00:00 305.5139 
 2026-05-01 12:00:00 305.8918 
 2026-05-01 13:00:00 304.5232 
 2026-05-01 14:00:00 303.2302 
 2026-05-01 15:00:00 299.2855 
 2026-05-01 16:00:00 298.7405 
 2026-05-01 17:00:00 298.1744 
 2026-05-01 18:00:00 297.9835 
 2026-05-01 19:00:00 297.6012 
 2026-05-01 20:00:00 296.9705 
 2026-05-01 21:00:00 296.4869 
 2026-05-01 22:00:00 295.6517 
 2026-05-01 23:00:00 295.3458 
 2026-05-02 00:00:00 297.0652 
 2026-05-02 01:00:00 297.3974 
 2026-05-02 02:00:00 298.4684 
 2026-05-02 03:00:00 298.5132 
 2026-05-02 04:00:00 298.7862 
 2026-05-02 05:00:00 300.8943 
 2026-05-02 06:00:00 303.6157 
 2026-05-02 07:00:00 303.9646 
 2026-05-02 08:00:00 305.1755 
 2026-05-02 09:00:00 306.0244 
 2026-05-02 10:00:00 305.0603 
 2026-05-02 11:00:00 305.1426 
 2026-05-02 12:00:00 304.7053 
 2026-05-02 13:00:00 304.2771 
 2026-05-02 14:00:00 302.6075 
 2026-05-02 15:00:00 300.4041 
 2026-05-02 16:00:00 299.7711 
 2026-05-02 17:00:00 299.3698 
 2026-05-02 18:00:00 298.5591 
 2026-05-02 19:00:00 297.9524 
 2026-05-02 20:00:00 296.8674 
 2026-05-02 21:00:00 296.3958 
 2026-05-02 22:00:00 295.4907 
 2026-05-02 23:00:00 295.4184 
 2026-05-03 00:00:00 297.0923 
 2026-05-03 01:00:00  297.177 
 2026-05-03 02:00:00 297.9371 
 2026-05-03 03:00:00 298.2881 
 2026-05-03 04:00:00 298.7708 
 2026-05-03 05:00:00 300.9268 
 2026-05-03 06:00:00 303.7939 
 2026-05-03 07:00:00 304.6606 
 2026-05-03 08:00:00 306.5269 
 2026-05-03 09:00:00 306.8784 
 2026-05-03 10:00:00  305.085 
 2026-05-03 11:00:00 305.4827 
 2026-05-03 12:00:00 305.2917 
 2026-05-03 13:00:00 303.8186 
 2026-05-03 14:00:00 302.3464 
 2026-05-03 15:00:00 300.7508 
 2026-05-03 16:00:00 300.7725 
 2026-05-03 17:00:00 300.1587 
 2026-05-03 18:00:00 299.4312 
 2026-05-03 19:00:00 298.5981 
 2026-05-03 20:00:00   297.33 
 2026-05-03 21:00:00  296.849 
 2026-05-03 22:00:00 296.1045 
 2026-05-03 23:00:00 295.7354 
 2026-05-04 00:00:00 296.5074 
 2026-05-04 01:00:00 296.6948 
 2026-05-04 02:00:00 297.1756 
 2026-05-04 03:00:00 297.4406 
 2026-05-04 04:00:00 298.1347 
 2026-05-04 05:00:00 300.2295 
 2026-05-04 06:00:00 303.1138 
 2026-05-04 07:00:00 303.6619 
 2026-05-04 08:00:00  304.989 
 2026-05-04 09:00:00 305.5098 
 2026-05-04 10:00:00 304.4546 
 2026-05-04 11:00:00 304.2092 
 2026-05-04 12:00:00 303.9641 
 2026-05-04 13:00:00  302.804 
 2026-05-04 14:00:00 300.7998 
 2026-05-04 15:00:00 298.2744 
