#      date    value 
 2021-01-01 284.6115 
 2021-01-02 287.9682 
 2021-01-03 290.1044 
 2021-01-04 291.1052 
 2021-01-05 291.5699 
 2021-01-06 290.8161 
 2021-01-07 288.5468 
 2021-01-08 287.2681 
 2021-01-09 289.1211 
 2021-01-10 285.8012 
 2021-01-11 284.6438 
 2021-01-12 285.0903 
 2021-01-13 284.5989 
 2021-01-14 284.8606 
 2021-01-15 285.9795 
 2021-01-16 283.9295 
 2021-01-17 285.5396 
 2021-01-18 287.9211 
 2021-01-19 288.9508 
 2021-01-20 287.9971 
 2021-01-21 286.9343 
 2021-01-22 286.2006 
 2021-01-23 287.2432 
 2021-01-24 286.8634 
 2021-01-25  286.079 
 2021-01-26 286.0794 
 2021-01-27 286.2964 
 2021-01-28  285.323 
 2021-01-29 286.1761 
 2021-01-30 286.1064 
 2021-01-31 286.3824 
 2021-02-01   287.87 
 2021-02-02 288.2846 
 2021-02-03 289.9887 
 2021-02-04 288.1744 
 2021-02-05  287.623 
 2021-02-06 287.7107 
 2021-02-07 288.3467 
 2021-02-08 289.2044 
 2021-02-09 290.3911 
 2021-02-10 291.4159 
 2021-02-11 290.9506 
 2021-02-12 290.4876 
 2021-02-13 289.8226 
 2021-02-14 290.4034 
 2021-02-15  291.418 
 2021-02-16 291.9835 
 2021-02-17 292.0182 
 2021-02-18 291.9409 
 2021-02-19 291.9727 
 2021-02-20 292.1031 
 2021-02-21 292.7759 
 2021-02-22 293.4184 
 2021-02-23 294.1599 
 2021-02-24 295.2993 
 2021-02-25 296.2378 
 2021-02-26 296.7272 
 2021-02-27 296.9819 
 2021-02-28 295.3674 
 2021-03-01 293.4935 
 2021-03-02 293.8357 
 2021-03-03 294.4673 
 2021-03-04 295.0769 
 2021-03-05 296.0316 
 2021-03-06 295.5962 
 2021-03-07 297.1281 
 2021-03-08 297.1127 
 2021-03-09 297.1058 
 2021-03-10 296.3245 
 2021-03-11 296.9728 
 2021-03-12 295.2708 
 2021-03-13 296.0033 
 2021-03-14 295.8893 
 2021-03-15 296.7998 
 2021-03-16 297.0598 
 2021-03-17  297.428 
 2021-03-18 297.7659 
 2021-03-19 297.7718 
 2021-03-20 297.4327 
 2021-03-21 297.6245 
 2021-03-22 298.3783 
 2021-03-23  297.914 
 2021-03-24 297.5722 
 2021-03-25 296.2247 
 2021-03-26 296.2747 
 2021-03-27 297.5114 
 2021-03-28 299.4236 
 2021-03-29  300.246 
 2021-03-30 301.6257 
 2021-03-31 300.0085 
 2021-04-01 298.2376 
 2021-04-02  297.222 
 2021-04-03 297.6257 
 2021-04-04 299.4106 
 2021-04-05 302.2935 
 2021-04-06 303.0054 
 2021-04-07 301.3121 
 2021-04-08 299.8572 
 2021-04-09 300.0243 
 2021-04-10 300.6942 
 2021-04-11 301.6736 
 2021-04-12 302.1902 
 2021-04-13 303.4815 
 2021-04-14 303.9842 
 2021-04-15 303.5575 
 2021-04-16 303.9921 
 2021-04-17 300.2467 
 2021-04-18 301.0136 
 2021-04-19 302.0148 
 2021-04-20 301.3977 
 2021-04-21 298.6707 
 2021-04-22 298.2969 
 2021-04-23 298.8991 
 2021-04-24 299.1646 
 2021-04-25 300.7717 
 2021-04-26 302.2651 
 2021-04-27 304.1624 
 2021-04-28 304.5751 
 2021-04-29  304.888 
 2021-04-30 304.3367 
 2021-05-01 304.2415 
