#      date     time    value 
 2026-05-01 00:00:00 302.5023 
 2026-05-01 01:00:00 302.5207 
 2026-05-01 02:00:00 303.1338 
 2026-05-01 03:00:00 303.4947 
 2026-05-01 04:00:00   303.78 
 2026-05-01 05:00:00 305.7566 
 2026-05-01 06:00:00 306.7107 
 2026-05-01 07:00:00 307.0017 
 2026-05-01 08:00:00 307.8638 
 2026-05-01 09:00:00 307.7361 
 2026-05-01 10:00:00 305.7568 
 2026-05-01 11:00:00 305.5413 
 2026-05-01 12:00:00 305.2766 
 2026-05-01 13:00:00  305.074 
 2026-05-01 14:00:00 304.4841 
 2026-05-01 15:00:00 303.6078 
 2026-05-01 16:00:00 303.7483 
 2026-05-01 17:00:00 303.6861 
 2026-05-01 18:00:00 303.7725 
 2026-05-01 19:00:00 303.5699 
 2026-05-01 20:00:00  303.156 
 2026-05-01 21:00:00 303.1197 
 2026-05-01 22:00:00 302.8294 
 2026-05-01 23:00:00 302.8028 
 2026-05-02 00:00:00 303.2917 
 2026-05-02 01:00:00 303.3056 
 2026-05-02 02:00:00 304.2087 
 2026-05-02 03:00:00 304.3784 
 2026-05-02 04:00:00 304.5753 
 2026-05-02 05:00:00 306.6541 
 2026-05-02 06:00:00 307.3071 
 2026-05-02 07:00:00 307.1072 
 2026-05-02 08:00:00 306.5896 
 2026-05-02 09:00:00 306.3916 
 2026-05-02 10:00:00 304.9822 
 2026-05-02 11:00:00  304.709 
 2026-05-02 12:00:00 304.6409 
 2026-05-02 13:00:00 304.6306 
 2026-05-02 14:00:00 304.0352 
 2026-05-02 15:00:00 303.4295 
 2026-05-02 16:00:00 303.5387 
 2026-05-02 17:00:00 303.3015 
 2026-05-02 18:00:00 303.2114 
 2026-05-02 19:00:00 303.3372 
 2026-05-02 20:00:00  303.051 
 2026-05-02 21:00:00 302.9759 
 2026-05-02 22:00:00 302.8228 
 2026-05-02 23:00:00 302.8481 
 2026-05-03 00:00:00 303.1763 
 2026-05-03 01:00:00 303.1751 
 2026-05-03 02:00:00 304.2594 
 2026-05-03 03:00:00 304.6553 
 2026-05-03 04:00:00 305.0208 
 2026-05-03 05:00:00 307.1025 
 2026-05-03 06:00:00 307.8975 
 2026-05-03 07:00:00 308.0161 
 2026-05-03 08:00:00 308.0054 
 2026-05-03 09:00:00 307.6831 
 2026-05-03 10:00:00 305.1025 
 2026-05-03 11:00:00 304.6135 
 2026-05-03 12:00:00 304.3855 
 2026-05-03 13:00:00 304.2131 
 2026-05-03 14:00:00 303.1707 
 2026-05-03 15:00:00 303.4344 
 2026-05-03 16:00:00 303.4971 
 2026-05-03 17:00:00 303.2583 
 2026-05-03 18:00:00 303.0484 
 2026-05-03 19:00:00 303.1039 
 2026-05-03 20:00:00 302.7108 
 2026-05-03 21:00:00 302.7221 
 2026-05-03 22:00:00 302.1299 
 2026-05-03 23:00:00 301.9952 
 2026-05-04 00:00:00 302.1539 
 2026-05-04 01:00:00 302.0932 
 2026-05-04 02:00:00 302.7635 
 2026-05-04 03:00:00 302.8546 
 2026-05-04 04:00:00 303.1347 
 2026-05-04 05:00:00 305.1279 
 2026-05-04 06:00:00 305.8638 
 2026-05-04 07:00:00 305.8318 
 2026-05-04 08:00:00 306.7781 
 2026-05-04 09:00:00 306.7012 
 2026-05-04 10:00:00 305.5288 
 2026-05-04 11:00:00 305.0745 
 2026-05-04 12:00:00 304.6829 
 2026-05-04 13:00:00 304.2571 
 2026-05-04 14:00:00 303.5732 
 2026-05-04 15:00:00 302.7607 
 2026-05-04 16:00:00 302.8111 
 2026-05-04 17:00:00 302.5963 
 2026-05-04 18:00:00  302.179 
 2026-05-04 19:00:00 301.8734 
 2026-05-04 20:00:00 301.4646 
 2026-05-04 21:00:00 301.3853 
 2026-05-04 22:00:00 301.2838 
 2026-05-04 23:00:00 301.3002 
 2026-05-05 00:00:00 301.3696 
 2026-05-05 01:00:00 301.3079 
 2026-05-05 02:00:00 302.1738 
 2026-05-05 03:00:00   302.55 
 2026-05-05 04:00:00 302.6672 
 2026-05-05 05:00:00 304.8472 
 2026-05-05 06:00:00 305.7991 
 2026-05-05 07:00:00 305.7104 
 2026-05-05 08:00:00 305.8633 
 2026-05-05 09:00:00 306.2263 
 2026-05-05 10:00:00 304.7332 
 2026-05-05 11:00:00 304.6453 
 2026-05-05 12:00:00 304.2783 
 2026-05-05 13:00:00 303.9177 
 2026-05-05 14:00:00 303.5452 
 2026-05-05 15:00:00 302.7413 
 2026-05-05 16:00:00 302.7114 
 2026-05-05 17:00:00 302.5562 
 2026-05-05 18:00:00 302.6491 
 2026-05-05 19:00:00  302.494 
 2026-05-05 20:00:00 302.2533 
 2026-05-05 21:00:00 302.0827 
 2026-05-05 22:00:00 302.0981 
 2026-05-05 23:00:00 302.1239 
 2026-05-06 00:00:00 302.2183 
 2026-05-06 01:00:00 302.0995 
 2026-05-06 02:00:00 302.8288 
 2026-05-06 03:00:00 303.2669 
 2026-05-06 04:00:00 303.3057 
 2026-05-06 05:00:00 304.8535 
 2026-05-06 06:00:00 305.4458 
 2026-05-06 07:00:00 305.1724 
 2026-05-06 08:00:00 303.9495 
 2026-05-06 09:00:00 304.3875 
 2026-05-06 10:00:00 303.2642 
 2026-05-06 11:00:00 303.2773 
 2026-05-06 12:00:00 303.1729 
 2026-05-06 13:00:00 303.3071 
 2026-05-06 14:00:00 303.0764 
 2026-05-06 15:00:00 302.8613 
 2026-05-06 16:00:00 302.7213 
 2026-05-06 17:00:00 302.5234 
 2026-05-06 18:00:00 302.3803 
 2026-05-06 19:00:00 302.4262 
 2026-05-06 20:00:00 302.2048 
 2026-05-06 21:00:00 302.1508 
 2026-05-06 22:00:00 302.1094 
 2026-05-06 23:00:00 302.0997 
 2026-05-24 00:00:00 303.2139 
 2026-05-24 01:00:00  303.454 
 2026-05-24 02:00:00 304.5609 
 2026-05-24 03:00:00 304.9201 
 2026-05-24 04:00:00 305.1555 
 2026-05-24 05:00:00 306.7258 
 2026-05-24 06:00:00 307.7605 
 2026-05-24 07:00:00 308.0278 
 2026-05-24 08:00:00 308.7415 
 2026-05-24 09:00:00 308.6094 
 2026-05-24 10:00:00 308.0759 
 2026-05-24 11:00:00 307.1064 
 2026-05-24 12:00:00 306.5354 
 2026-05-24 13:00:00 306.4419 
 2026-05-24 14:00:00 305.4802 
 2026-05-24 15:00:00 304.3445 
 2026-05-24 16:00:00  304.332 
 2026-05-24 17:00:00 303.7288 
 2026-05-24 18:00:00  303.238 
 2026-05-24 19:00:00 302.9905 
 2026-05-24 20:00:00 302.5981 
 2026-05-24 21:00:00  302.546 
 2026-05-24 22:00:00 302.7988 
 2026-05-24 23:00:00 302.5899 
 2026-05-25 00:00:00 303.1859 
 2026-05-25 01:00:00  303.458 
 2026-05-25 02:00:00 305.2461 
 2026-05-25 03:00:00 307.0779 
 2026-05-25 04:00:00 307.3157 
 2026-05-25 05:00:00 307.7664 
 2026-05-25 06:00:00 307.8745 
 2026-05-25 07:00:00 307.8594 
