#      date    value 
 2021-01-01  284.131 
 2021-01-02 287.7384 
 2021-01-03 290.1146 
 2021-01-04 290.4421 
 2021-01-05 291.1822 
 2021-01-06 290.3987 
 2021-01-07 287.5048 
 2021-01-08  286.131 
 2021-01-09 287.7601 
 2021-01-10 284.3652 
 2021-01-11 284.3899 
 2021-01-12  284.528 
 2021-01-13 284.2057 
 2021-01-14 284.8459 
 2021-01-15 285.1298 
 2021-01-16 283.0907 
 2021-01-17 285.2231 
 2021-01-18 287.7279 
 2021-01-19 288.2845 
 2021-01-20 287.5763 
 2021-01-21 286.3809 
 2021-01-22 286.2928 
 2021-01-23 287.9932 
 2021-01-24 285.8768 
 2021-01-25 285.7474 
 2021-01-26 285.4761 
 2021-01-27 285.5244 
 2021-01-28 285.0379 
 2021-01-29 285.6022 
 2021-01-30  285.537 
 2021-01-31 286.8184 
 2021-02-01 287.9914 
 2021-02-02 288.5177 
 2021-02-03 290.0686 
 2021-02-04 286.9107 
 2021-02-05 286.8792 
 2021-02-06 287.3657 
 2021-02-07 287.9785 
 2021-02-08 288.7984 
 2021-02-09 289.9278 
 2021-02-10 290.8882 
 2021-02-11 290.4484 
 2021-02-12 290.0363 
 2021-02-13  289.402 
 2021-02-14 290.1685 
 2021-02-15 291.2005 
 2021-02-16 291.8387 
 2021-02-17 291.2676 
 2021-02-18 291.4838 
 2021-02-19  291.268 
 2021-02-20 291.3338 
 2021-02-21 291.8741 
 2021-02-22 292.7474 
 2021-02-23 293.9495 
 2021-02-24  294.526 
 2021-02-25 294.9617 
 2021-02-26 296.2939 
 2021-02-27 295.6768 
 2021-02-28 294.1859 
 2021-03-01 292.6744 
 2021-03-02 293.3318 
 2021-03-03 293.9538 
 2021-03-04    294.9 
 2021-03-05 295.2004 
 2021-03-06 295.2514 
 2021-03-07 297.0767 
 2021-03-08 296.9326 
 2021-03-09  297.027 
 2021-03-10 296.4897 
 2021-03-11 296.7951 
 2021-03-12 295.3769 
 2021-03-13 295.5765 
 2021-03-14 295.6336 
 2021-03-15 296.4329 
 2021-03-16 296.7789 
 2021-03-17 297.0186 
 2021-03-18 297.5576 
 2021-03-19  297.515 
 2021-03-20 297.1938 
 2021-03-21 297.3027 
 2021-03-22 297.5437 
 2021-03-23 296.4233 
 2021-03-24 296.5311 
 2021-03-25 295.4902 
 2021-03-26 295.7379 
 2021-03-27 297.2786 
 2021-03-28 299.1942 
 2021-03-29 300.2072 
 2021-03-30 301.0311 
 2021-03-31 298.9222 
 2021-04-01 297.5183 
 2021-04-02 296.6412 
 2021-04-03 297.2294 
 2021-04-04 298.8452 
 2021-04-05 301.7244 
 2021-04-06 302.2843 
 2021-04-07 300.2061 
 2021-04-08 298.9342 
 2021-04-09 299.4234 
 2021-04-10 300.2608 
 2021-04-11 301.2751 
 2021-04-12 301.5565 
 2021-04-13  302.632 
 2021-04-14 302.6185 
 2021-04-15 302.8553 
 2021-04-16 302.4269 
 2021-04-17 300.0583 
 2021-04-18 300.7625 
 2021-04-19 301.8804 
 2021-04-20 300.0187 
 2021-04-21 298.2329 
 2021-04-22 299.0682 
 2021-04-23 298.7329 
 2021-04-24 298.9288 
 2021-04-25 300.8563 
 2021-04-26 302.7329 
 2021-04-27 304.9893 
 2021-04-28 305.4515 
 2021-04-29 305.7735 
 2021-04-30 304.7845 
 2021-05-01 304.6601 
 2021-05-02 303.2568 
 2021-05-03 303.3743 
 2021-05-04 303.8634 
 2021-05-05 303.0126 
 2021-05-06 301.5784 
 2021-05-07 300.7921 
 2021-05-08 302.7682 
 2021-05-09 302.7336 
 2021-05-10 302.8438 
 2021-05-11 303.0645 
 2021-05-12 302.1884 
 2021-05-13 299.7901 
 2021-05-14 301.9303 
 2021-05-15 303.3316 
 2021-05-16 304.3927 
 2021-05-17 304.8965 
 2021-05-18 299.3248 
 2021-05-19 295.3973 
 2021-05-20 299.0694 
 2021-05-21    301.2 
 2021-05-22 301.8987 
 2021-05-23  301.584 
 2021-05-24 302.4012 
 2021-05-25 303.4221 
 2021-05-26 302.9243 
 2021-05-27 303.9883 
 2021-05-28 304.1988 
 2021-05-29 304.1429 
 2021-05-30 304.4589 
 2021-05-31 304.8879 
