#      date     time    value 
 2026-05-01 00:00:00 296.0882 
 2026-05-01 01:00:00 296.0929 
 2026-05-01 02:00:00 297.3838 
 2026-05-01 03:00:00 298.0162 
 2026-05-01 04:00:00 298.6784 
 2026-05-01 05:00:00 302.5554 
 2026-05-01 06:00:00 304.8337 
 2026-05-01 07:00:00 305.3103 
 2026-05-01 08:00:00 307.3735 
 2026-05-01 09:00:00 307.8533 
 2026-05-01 10:00:00 308.1416 
 2026-05-01 11:00:00  308.387 
 2026-05-01 12:00:00 308.3977 
 2026-05-01 13:00:00 307.8474 
 2026-05-01 14:00:00 304.9099 
 2026-05-01 15:00:00 302.7035 
 2026-05-01 16:00:00 302.4534 
 2026-05-01 17:00:00 301.2017 
 2026-05-01 18:00:00 301.1221 
 2026-05-01 19:00:00 300.9293 
 2026-05-01 20:00:00 299.9431 
 2026-05-01 21:00:00 299.9615 
 2026-05-01 22:00:00   298.89 
 2026-05-01 23:00:00  298.795 
 2026-05-02 00:00:00 299.8796 
 2026-05-02 01:00:00 299.8779 
 2026-05-02 02:00:00 301.0563 
 2026-05-02 03:00:00 301.4722 
 2026-05-02 04:00:00 302.0108 
 2026-05-02 05:00:00 305.3884 
 2026-05-02 06:00:00 307.7817 
 2026-05-02 07:00:00 308.1091 
 2026-05-02 08:00:00 309.7537 
 2026-05-02 09:00:00 310.0771 
 2026-05-02 10:00:00 309.8767 
 2026-05-02 11:00:00 310.0117 
 2026-05-02 12:00:00 310.0159 
 2026-05-02 13:00:00 309.4177 
 2026-05-02 14:00:00   307.17 
 2026-05-02 15:00:00 304.6151 
 2026-05-02 16:00:00 304.3844 
 2026-05-02 17:00:00 301.5046 
 2026-05-02 18:00:00 300.9575 
 2026-05-02 19:00:00 300.8469 
 2026-05-02 20:00:00 300.3987 
 2026-05-02 21:00:00 299.9446 
 2026-05-02 22:00:00 298.7935 
 2026-05-02 23:00:00 298.7817 
 2026-05-03 00:00:00 299.3697 
 2026-05-03 01:00:00 299.1829 
 2026-05-03 02:00:00 299.6832 
 2026-05-03 03:00:00 299.9482 
 2026-05-03 04:00:00 299.9817 
 2026-05-03 05:00:00 302.7354 
 2026-05-03 06:00:00 304.3389 
 2026-05-03 07:00:00 305.4614 
 2026-05-03 08:00:00 306.6753 
 2026-05-03 09:00:00 307.1636 
 2026-05-03 10:00:00 307.6357 
 2026-05-03 11:00:00 307.6975 
 2026-05-03 12:00:00 307.1414 
 2026-05-03 13:00:00 306.8362 
 2026-05-03 14:00:00 304.7214 
 2026-05-03 15:00:00 303.7801 
 2026-05-03 16:00:00 303.9034 
 2026-05-03 17:00:00 301.2739 
 2026-05-03 18:00:00 300.6832 
 2026-05-03 19:00:00 299.2289 
 2026-05-03 20:00:00 296.7167 
 2026-05-03 21:00:00  294.849 
 2026-05-03 22:00:00 296.1084 
 2026-05-03 23:00:00 295.5967 
 2026-05-04 00:00:00 295.1675 
 2026-05-04 01:00:00 294.7202 
 2026-05-04 02:00:00 295.5818 
 2026-05-04 03:00:00 296.3741 
 2026-05-04 04:00:00 297.5898 
 2026-05-04 05:00:00 300.8018 
 2026-05-04 06:00:00 302.4966 
 2026-05-04 07:00:00 302.7166 
 2026-05-04 08:00:00 304.1902 
 2026-05-04 09:00:00   303.75 
 2026-05-04 10:00:00 303.7651 
 2026-05-04 11:00:00 301.3811 
 2026-05-04 12:00:00 303.0618 
 2026-05-04 13:00:00 303.9153 
 2026-05-04 14:00:00 301.4268 
 2026-05-04 15:00:00 300.9385 
 2026-05-04 16:00:00 301.3209 
 2026-05-04 17:00:00 299.2877 
 2026-05-04 18:00:00 298.8782 
 2026-05-04 19:00:00 298.2289 
 2026-05-04 20:00:00 297.1189 
 2026-05-04 21:00:00 297.0474 
 2026-05-04 22:00:00 295.6803 
 2026-05-04 23:00:00 295.9682 
 2026-05-05 00:00:00 296.9868 
 2026-05-05 01:00:00  296.968 
 2026-05-05 02:00:00 297.8066 
 2026-05-05 03:00:00  298.679 
 2026-05-05 04:00:00 298.8821 
 2026-05-05 05:00:00 300.9585 
 2026-05-05 06:00:00 302.1331 
 2026-05-05 07:00:00 302.6792 
 2026-05-05 08:00:00 304.5977 
 2026-05-05 09:00:00 304.9685 
 2026-05-05 10:00:00 301.4226 
 2026-05-05 11:00:00 301.7468 
 2026-05-05 12:00:00 302.6084 
 2026-05-05 13:00:00 302.8201 
 2026-05-05 14:00:00 301.3088 
 2026-05-05 15:00:00 299.6241 
 2026-05-05 16:00:00 299.0278 
 2026-05-05 17:00:00 297.6148 
 2026-05-05 18:00:00 297.0827 
 2026-05-05 19:00:00 296.8553 
 2026-05-05 20:00:00 296.0521 
 2026-05-05 21:00:00 295.8249 
 2026-05-05 22:00:00 294.7856 
 2026-05-05 23:00:00 294.6395 
 2026-05-06 00:00:00 295.5718 
 2026-05-06 01:00:00  296.037 
 2026-05-06 02:00:00 298.7741 
 2026-05-06 03:00:00 299.0657 
 2026-05-06 04:00:00 299.6221 
 2026-05-06 05:00:00 302.6484 
 2026-05-06 06:00:00 304.7134 
 2026-05-06 07:00:00 304.7505 
 2026-05-06 08:00:00 306.8616 
 2026-05-06 09:00:00 307.5066 
 2026-05-06 10:00:00 307.5356 
 2026-05-06 11:00:00 307.6113 
 2026-05-06 12:00:00 307.5459 
 2026-05-06 13:00:00 306.8169 
 2026-05-06 14:00:00 304.8655 
 2026-05-06 15:00:00 302.4746 
 2026-05-06 16:00:00 301.6725 
 2026-05-06 17:00:00 300.1582 
 2026-05-06 18:00:00 298.9116 
 2026-05-06 19:00:00 299.1703 
 2026-05-06 20:00:00 297.8141 
 2026-05-06 21:00:00 297.8852 
 2026-05-06 22:00:00 297.4238 
 2026-05-06 23:00:00 297.4493 
 2026-05-24 00:00:00 302.8115 
 2026-05-24 01:00:00 303.7314 
 2026-05-24 02:00:00 305.9359 
 2026-05-24 03:00:00 307.0803 
 2026-05-24 04:00:00 308.0754 
 2026-05-24 05:00:00  311.925 
 2026-05-24 06:00:00  313.948 
 2026-05-24 07:00:00 314.2485 
 2026-05-24 08:00:00 316.3157 
 2026-05-24 09:00:00 316.6211 
 2026-05-24 10:00:00 316.4021 
 2026-05-24 11:00:00 316.2842 
 2026-05-24 12:00:00 315.9592 
 2026-05-24 13:00:00  315.061 
 2026-05-24 14:00:00 316.7927 
 2026-05-24 15:00:00 311.7136 
 2026-05-24 16:00:00 307.3027 
 2026-05-24 17:00:00 305.9612 
 2026-05-24 18:00:00 306.1521 
 2026-05-24 19:00:00 305.1428 
 2026-05-24 20:00:00 304.6567 
 2026-05-24 21:00:00 306.0245 
 2026-05-24 22:00:00  306.252 
 2026-05-24 23:00:00 306.2442 
 2026-05-25 00:00:00 306.5179 
 2026-05-25 01:00:00 307.8838 
 2026-05-25 02:00:00 310.8418 
 2026-05-25 03:00:00 312.4802 
 2026-05-25 04:00:00 312.2961 
 2026-05-25 05:00:00  312.782 
 2026-05-25 06:00:00 313.9272 
 2026-05-25 07:00:00 314.2266 
 2026-05-25 08:00:00 316.3274 
 2026-05-25 09:00:00 316.4561 
 2026-05-25 10:00:00 315.8169 
 2026-05-25 11:00:00 316.0144 
 2026-05-25 12:00:00 315.6121 
 2026-05-25 13:00:00 315.0344 
 2026-05-25 14:00:00 312.6426 
 2026-05-25 15:00:00 309.4216 
 2026-05-25 16:00:00 308.2166 
 2026-05-25 17:00:00 306.1294 
 2026-05-25 18:00:00 306.0798 
 2026-05-25 19:00:00   305.98 
 2026-05-25 20:00:00 304.5813 
 2026-05-25 21:00:00 304.5379 
 2026-05-25 22:00:00 302.0243 
 2026-05-25 23:00:00 301.9509 
 2026-05-26 00:00:00 302.7012 
 2026-05-26 01:00:00 303.4421 
 2026-05-26 02:00:00 306.7051 
 2026-05-26 03:00:00 307.5951 
 2026-05-26 04:00:00 308.4364 
 2026-05-26 05:00:00 312.0894 
 2026-05-26 06:00:00  314.095 
 2026-05-26 07:00:00 314.5249 
 2026-05-26 08:00:00 316.3176 
 2026-05-26 09:00:00 316.4595 
 2026-05-26 10:00:00 315.7766 
 2026-05-26 11:00:00 315.7349 
 2026-05-26 12:00:00 315.2288 
 2026-05-26 13:00:00 314.0271 
 2026-05-26 14:00:00 309.8594 
 2026-05-26 15:00:00  308.251 
 2026-05-26 16:00:00 307.8245 
 2026-05-26 17:00:00 305.5396 
 2026-05-26 18:00:00 304.8733 
 2026-05-26 19:00:00 304.0757 
 2026-05-26 20:00:00 302.0424 
 2026-05-26 21:00:00  302.025 
 2026-05-26 22:00:00  300.447 
 2026-05-26 23:00:00 300.5058 
 2026-05-27 00:00:00 301.4594 
 2026-05-27 01:00:00 302.3434 
 2026-05-27 02:00:00 306.2326 
 2026-05-27 03:00:00  307.961 
 2026-05-27 04:00:00 308.9614 
 2026-05-27 05:00:00 312.9509 
 2026-05-27 06:00:00 314.3477 
 2026-05-27 07:00:00 314.6089 
 2026-05-27 08:00:00 316.6802 
 2026-05-27 09:00:00 316.9072 
 2026-05-27 10:00:00  316.718 
 2026-05-27 11:00:00 316.7258 
