#      date     time    value 
 2000-01-01 00:00:00 278.8342 
 2000-01-01 01:00:00 278.9093 
 2000-01-01 02:00:00 279.5741 
 2000-01-01 03:00:00 281.6143 
 2000-01-01 04:00:00 285.9172 
 2000-01-01 05:00:00 289.3011 
 2000-01-01 06:00:00 291.1326 
 2000-01-01 07:00:00 291.6839 
 2000-01-01 08:00:00 292.3626 
 2000-01-01 09:00:00 292.7171 
 2000-01-01 10:00:00 292.7184 
 2000-01-01 11:00:00 292.2722 
 2000-01-01 12:00:00 291.0974 
 2000-01-01 13:00:00 288.9638 
 2000-01-01 14:00:00 286.7044 
 2000-01-01 15:00:00  285.096 
 2000-01-01 16:00:00 283.8419 
 2000-01-01 17:00:00 282.7398 
 2000-01-01 18:00:00 281.7975 
 2000-01-01 19:00:00 281.1034 
 2000-01-01 20:00:00 280.5348 
 2000-01-01 21:00:00 280.0508 
 2000-01-01 22:00:00 279.7052 
 2000-01-01 23:00:00 279.4467 
 2000-01-02 00:00:00 279.2166 
 2000-01-02 01:00:00  278.916 
 2000-01-02 02:00:00 278.5844 
 2000-01-02 03:00:00 281.2464 
 2000-01-02 04:00:00 286.0914 
 2000-01-02 05:00:00 289.3668 
 2000-01-02 06:00:00 291.1071 
 2000-01-02 07:00:00 291.8419 
 2000-01-02 08:00:00 292.5416 
 2000-01-02 09:00:00 292.9418 
 2000-01-02 10:00:00 292.9401 
 2000-01-02 11:00:00 292.4152 
 2000-01-02 12:00:00 291.0625 
 2000-01-02 13:00:00 289.0272 
 2000-01-02 14:00:00  287.306 
 2000-01-02 15:00:00 285.9231 
 2000-01-02 16:00:00 284.8148 
 2000-01-02 17:00:00 283.8658 
 2000-01-02 18:00:00 283.1031 
 2000-01-02 19:00:00  282.364 
 2000-01-02 20:00:00 281.8926 
 2000-01-02 21:00:00 281.4332 
 2000-01-02 22:00:00  280.934 
 2000-01-02 23:00:00 280.5005 
 2000-01-03 00:00:00 280.1168 
 2000-01-03 01:00:00 279.7893 
 2000-01-03 02:00:00 279.5457 
 2000-01-03 03:00:00    281.4 
 2000-01-03 04:00:00 285.7551 
 2000-01-03 05:00:00 288.9827 
 2000-01-03 06:00:00 291.1118 
 2000-01-03 07:00:00 291.7397 
 2000-01-03 08:00:00 292.5716 
 2000-01-03 09:00:00 293.0407 
 2000-01-03 10:00:00  293.021 
 2000-01-03 11:00:00 292.3976 
 2000-01-03 12:00:00 290.6955 
 2000-01-03 13:00:00 288.5324 
 2000-01-03 14:00:00 286.9037 
 2000-01-03 15:00:00 285.6707 
 2000-01-03 16:00:00 284.6511 
 2000-01-03 17:00:00  283.751 
 2000-01-03 18:00:00  283.004 
 2000-01-03 19:00:00 282.1202 
 2000-01-03 20:00:00 281.5793 
 2000-01-03 21:00:00 281.0759 
 2000-01-03 22:00:00 280.7229 
 2000-01-03 23:00:00 280.4382 
 2000-01-04 00:00:00  280.166 
 2000-01-04 01:00:00   279.89 
 2000-01-04 02:00:00 279.5766 
 2000-01-04 03:00:00 281.1011 
 2000-01-04 04:00:00 285.3622 
 2000-01-04 05:00:00 288.4972 
 2000-01-04 06:00:00 290.6927 
 2000-01-04 07:00:00 291.3208 
 2000-01-04 08:00:00 292.1787 
 2000-01-04 09:00:00 292.6533 
 2000-01-04 10:00:00 292.6747 
 2000-01-04 11:00:00 292.1613 
 2000-01-04 12:00:00 290.8987 
 2000-01-04 13:00:00 288.9153 
 2000-01-04 14:00:00 287.1224 
 2000-01-04 15:00:00  285.464 
 2000-01-04 16:00:00 284.0262 
 2000-01-04 17:00:00 282.8864 
 2000-01-04 18:00:00 282.1181 
 2000-01-04 19:00:00 281.2943 
 2000-01-04 20:00:00  280.759 
