#      date     time    value 
 2026-05-01 00:00:00 297.7249 
 2026-05-01 01:00:00 298.4953 
 2026-05-01 02:00:00 301.3681 
 2026-05-01 03:00:00 302.2213 
 2026-05-01 04:00:00 302.4851 
 2026-05-01 05:00:00 306.8367 
 2026-05-01 06:00:00 308.8865 
 2026-05-01 07:00:00 309.2283 
 2026-05-01 08:00:00 311.8423 
 2026-05-01 09:00:00 311.9685 
 2026-05-01 10:00:00 311.8857 
 2026-05-01 11:00:00 311.8948 
 2026-05-01 12:00:00 311.6868 
 2026-05-01 13:00:00 310.0486 
 2026-05-01 14:00:00 306.9236 
 2026-05-01 15:00:00 304.5023 
 2026-05-01 16:00:00 305.7502 
 2026-05-01 17:00:00  303.563 
 2026-05-01 18:00:00 302.6456 
 2026-05-01 19:00:00 302.3981 
 2026-05-01 20:00:00 300.8298 
 2026-05-01 21:00:00 300.6959 
 2026-05-01 22:00:00 298.9681 
 2026-05-01 23:00:00 298.6544 
 2026-05-02 00:00:00 299.6941 
 2026-05-02 01:00:00 299.8349 
 2026-05-02 02:00:00  302.029 
 2026-05-02 03:00:00 302.9117 
 2026-05-02 04:00:00 303.4092 
 2026-05-02 05:00:00  306.031 
 2026-05-02 06:00:00 308.6938 
 2026-05-02 07:00:00 309.4197 
 2026-05-02 08:00:00 310.8767 
 2026-05-02 09:00:00 311.2314 
 2026-05-02 10:00:00 311.1814 
 2026-05-02 11:00:00 310.9805 
 2026-05-02 12:00:00 310.7737 
 2026-05-02 13:00:00 309.9724 
 2026-05-02 14:00:00 306.9532 
 2026-05-02 15:00:00 304.8026 
 2026-05-02 16:00:00 305.5036 
 2026-05-02 17:00:00 299.4401 
 2026-05-02 18:00:00 299.9927 
 2026-05-02 19:00:00 300.3293 
 2026-05-02 20:00:00 298.7385 
 2026-05-02 21:00:00  298.513 
 2026-05-02 22:00:00  297.938 
 2026-05-02 23:00:00 298.4555 
 2026-05-03 00:00:00 299.1334 
 2026-05-03 01:00:00 300.2122 
 2026-05-03 02:00:00 301.8883 
 2026-05-03 03:00:00 302.6514 
 2026-05-03 04:00:00 303.1575 
 2026-05-03 05:00:00 306.8896 
 2026-05-03 06:00:00 307.9463 
 2026-05-03 07:00:00 308.3208 
 2026-05-03 08:00:00 310.6616 
 2026-05-03 09:00:00 311.2593 
 2026-05-03 10:00:00 309.8545 
 2026-05-03 11:00:00 309.7581 
 2026-05-03 12:00:00  309.325 
 2026-05-03 13:00:00 308.6174 
 2026-05-03 14:00:00 305.4714 
 2026-05-03 15:00:00 305.0281 
 2026-05-03 16:00:00 305.0186 
 2026-05-03 17:00:00  302.938 
 2026-05-03 18:00:00 302.7711 
 2026-05-03 19:00:00 301.2719 
 2026-05-03 20:00:00  299.123 
 2026-05-03 21:00:00 299.0522 
 2026-05-03 22:00:00 296.5615 
