#      date     time    value 
 2026-05-01 00:00:00  296.137 
 2026-05-01 01:00:00 296.9308 
 2026-05-01 02:00:00 298.8115 
 2026-05-01 03:00:00 299.8482 
 2026-05-01 04:00:00 300.3405 
 2026-05-01 05:00:00 301.9285 
 2026-05-01 06:00:00 302.3826 
 2026-05-01 07:00:00 301.2244 
 2026-05-01 08:00:00 301.5103 
 2026-05-01 09:00:00 302.2634 
 2026-05-01 10:00:00 302.2432 
 2026-05-01 11:00:00 302.5588 
 2026-05-01 12:00:00 302.0735 
 2026-05-01 13:00:00 301.9548 
 2026-05-01 14:00:00 301.2126 
 2026-05-01 15:00:00 298.9476 
 2026-05-01 16:00:00 298.4417 
 2026-05-01 17:00:00 298.3834 
 2026-05-01 18:00:00 298.4698 
 2026-05-01 19:00:00 298.4156 
 2026-05-01 20:00:00 298.3806 
 2026-05-01 21:00:00 298.1002 
 2026-05-01 22:00:00 297.9701 
 2026-05-01 23:00:00 298.4337 
 2026-05-02 00:00:00  299.364 
 2026-05-02 01:00:00 299.7704 
 2026-05-02 02:00:00 300.9157 
 2026-05-02 03:00:00 302.0347 
 2026-05-02 04:00:00 302.4561 
 2026-05-02 05:00:00 304.6228 
 2026-05-02 06:00:00 306.5181 
 2026-05-02 07:00:00 306.6169 
 2026-05-02 08:00:00 305.3767 
 2026-05-02 09:00:00 303.4385 
 2026-05-02 10:00:00 302.4998 
 2026-05-02 11:00:00 302.7578 
 2026-05-02 12:00:00 300.6272 
 2026-05-02 13:00:00 300.2224 
 2026-05-02 14:00:00 299.8262 
 2026-05-02 15:00:00 298.6561 
 2026-05-02 16:00:00 297.2887 
 2026-05-02 17:00:00 296.1413 
 2026-05-02 18:00:00 296.4478 
 2026-05-02 19:00:00 297.1125 
 2026-05-02 20:00:00 297.3147 
 2026-05-02 21:00:00  297.511 
 2026-05-02 22:00:00 298.2427 
 2026-05-02 23:00:00 298.5747 
 2026-05-03 00:00:00 300.3697 
 2026-05-03 01:00:00 300.5852 
 2026-05-03 02:00:00 302.2769 
 2026-05-03 03:00:00 303.1709 
 2026-05-03 04:00:00 303.9915 
 2026-05-03 05:00:00 307.2354 
 2026-05-03 06:00:00 307.8271 
 2026-05-03 07:00:00 307.1118 
 2026-05-03 08:00:00 305.7456 
 2026-05-03 09:00:00 303.0698 
 2026-05-03 10:00:00 303.7393 
 2026-05-03 11:00:00 302.9026 
 2026-05-03 12:00:00 302.8679 
 2026-05-03 13:00:00 303.0139 
 2026-05-03 14:00:00 302.3191 
 2026-05-03 15:00:00  300.327 
 2026-05-03 16:00:00 300.5967 
 2026-05-03 17:00:00 300.0317 
 2026-05-03 18:00:00 300.1832 
 2026-05-03 19:00:00  300.311 
 2026-05-03 20:00:00 300.1542 
 2026-05-03 21:00:00 300.1029 
 2026-05-03 22:00:00 299.7744 
 2026-05-03 23:00:00 300.0128 
 2026-05-04 00:00:00 300.6675 
 2026-05-04 01:00:00 299.6225 
 2026-05-04 02:00:00 300.3181 
 2026-05-04 03:00:00 303.8019 
 2026-05-04 04:00:00 304.2851 
 2026-05-04 05:00:00 305.7041 
 2026-05-04 06:00:00 306.6411 
 2026-05-04 07:00:00  306.406 
 2026-05-04 08:00:00 305.8679 
 2026-05-04 09:00:00 306.0762 
 2026-05-04 10:00:00 302.2124 
 2026-05-04 11:00:00 302.7542 
 2026-05-04 12:00:00  302.304 
 2026-05-04 13:00:00 301.7688 
 2026-05-04 14:00:00 300.5127 
 2026-05-04 15:00:00 299.5986 
 2026-05-04 16:00:00  299.688 
 2026-05-04 17:00:00  298.778 
 2026-05-04 18:00:00 298.8411 
 2026-05-04 19:00:00 298.7211 
 2026-05-04 20:00:00 297.8787 
 2026-05-04 21:00:00 297.0493 
 2026-05-04 22:00:00 297.0241 
 2026-05-04 23:00:00 297.3608 
 2026-05-05 00:00:00 297.9985 
 2026-05-05 01:00:00 298.4231 
 2026-05-05 02:00:00 299.8886 
 2026-05-05 03:00:00 300.0715 
 2026-05-05 04:00:00 299.9485 
 2026-05-05 05:00:00 302.4878 
 2026-05-05 06:00:00 303.6467 
 2026-05-05 07:00:00 303.6206 
 2026-05-05 08:00:00   304.75 
 2026-05-05 09:00:00 305.0583 
 2026-05-05 10:00:00 301.8679 
 2026-05-05 11:00:00 302.6726 
 2026-05-05 12:00:00 303.3896 
 2026-05-05 13:00:00 303.1326 
 2026-05-05 14:00:00 301.5823 
 2026-05-05 15:00:00 300.4053 
 2026-05-05 16:00:00 300.5767 
 2026-05-05 17:00:00 299.9879 
 2026-05-05 18:00:00  299.694 
 2026-05-05 19:00:00  299.699 
 2026-05-05 20:00:00 299.2494 
 2026-05-05 21:00:00 299.2859 
 2026-05-05 22:00:00 298.9555 
 2026-05-05 23:00:00    299.2 
 2026-05-06 00:00:00 299.9351 
 2026-05-06 01:00:00 300.0839 
 2026-05-06 02:00:00 302.7839 
 2026-05-06 03:00:00 302.8958 
 2026-05-06 04:00:00 302.9189 
 2026-05-06 05:00:00    305.5 
 2026-05-06 06:00:00  306.313 
 2026-05-06 07:00:00 306.4106 
 2026-05-06 08:00:00 307.0706 
 2026-05-06 09:00:00 307.4402 
 2026-05-06 10:00:00 302.5317 
 2026-05-06 11:00:00   301.75 
 2026-05-06 12:00:00 301.8037 
 2026-05-06 13:00:00 301.6548 
 2026-05-06 14:00:00 301.1292 
 2026-05-06 15:00:00 299.2402 
 2026-05-06 16:00:00 299.3463 
 2026-05-06 17:00:00 299.1562 
 2026-05-06 18:00:00 299.1362 
 2026-05-06 19:00:00 299.1879 
 2026-05-06 20:00:00 298.7634 
 2026-05-06 21:00:00 298.6352 
 2026-05-06 22:00:00 298.5664 
 2026-05-06 23:00:00 298.8282 
 2026-05-24 00:00:00 303.6299 
 2026-05-24 01:00:00 303.7861 
 2026-05-24 02:00:00  305.102 
 2026-05-24 03:00:00 305.2795 
 2026-05-24 04:00:00 305.4426 
 2026-05-24 05:00:00 307.2942 
 2026-05-24 06:00:00 308.5632 
 2026-05-24 07:00:00 308.7056 
 2026-05-24 08:00:00 309.4524 
 2026-05-24 09:00:00 309.1973 
 2026-05-24 10:00:00 306.7009 
 2026-05-24 11:00:00 306.3994 
 2026-05-24 12:00:00 306.2639 
 2026-05-24 13:00:00 306.4087 
 2026-05-24 14:00:00 304.8748 
 2026-05-24 15:00:00 302.5457 
 2026-05-24 16:00:00   302.75 
 2026-05-24 17:00:00 302.1331 
 2026-05-24 18:00:00 302.0154 
 2026-05-24 19:00:00 301.9514 
 2026-05-24 20:00:00 301.6352 
 2026-05-24 21:00:00 301.9835 
 2026-05-24 22:00:00 302.2754 
 2026-05-24 23:00:00 302.3965 
 2026-05-25 00:00:00 302.2523 
 2026-05-25 01:00:00 303.4443 
 2026-05-25 02:00:00 306.6719 
 2026-05-25 03:00:00  307.613 
 2026-05-25 04:00:00 307.4602 
 2026-05-25 05:00:00 307.9988 
 2026-05-25 06:00:00 308.0112 
 2026-05-25 07:00:00 307.9316 
 2026-05-25 08:00:00 308.2219 
 2026-05-25 09:00:00 308.0205 
 2026-05-25 10:00:00 306.1235 
 2026-05-25 11:00:00 305.8855 
 2026-05-25 12:00:00 305.9714 
 2026-05-25 13:00:00 305.7532 
 2026-05-25 14:00:00  305.082 
 2026-05-25 15:00:00  302.988 
 2026-05-25 16:00:00 303.0095 
 2026-05-25 17:00:00 302.4907 
 2026-05-25 18:00:00 302.7068 
 2026-05-25 19:00:00  302.814 
 2026-05-25 20:00:00 302.1125 
 2026-05-25 21:00:00 302.2528 
 2026-05-25 22:00:00 301.8134 
 2026-05-25 23:00:00 301.9782 
 2026-05-26 00:00:00 303.2246 
 2026-05-26 01:00:00 303.2878 
 2026-05-26 02:00:00 304.4649 
 2026-05-26 03:00:00 304.5756 
 2026-05-26 04:00:00 304.7274 
 2026-05-26 05:00:00 305.7104 
 2026-05-26 06:00:00 306.5598 
 2026-05-26 07:00:00 306.5933 
 2026-05-26 08:00:00 307.0227 
 2026-05-26 09:00:00 306.6763 
 2026-05-26 10:00:00 305.9485 
 2026-05-26 11:00:00 305.2466 
 2026-05-26 12:00:00 304.6682 
 2026-05-26 13:00:00   304.24 
 2026-05-26 14:00:00 303.3945 
 2026-05-26 15:00:00 301.6416 
 2026-05-26 16:00:00   301.93 
 2026-05-26 17:00:00  301.645 
 2026-05-26 18:00:00 301.8381 
 2026-05-26 19:00:00 301.7788 
 2026-05-26 20:00:00 301.1752 
 2026-05-26 21:00:00 301.1597 
 2026-05-26 22:00:00 300.7595 
 2026-05-26 23:00:00 300.8593 
 2026-05-27 00:00:00 301.4261 
