#      date    value 
 2021-01-01 285.0335 
 2021-01-02 286.7914 
 2021-01-03 288.2095 
 2021-01-04 289.8115 
 2021-01-05 289.4527 
 2021-01-06 286.8138 
 2021-01-07 284.4622 
 2021-01-08 284.7094 
 2021-01-09 284.7556 
 2021-01-10 284.2601 
 2021-01-11 284.9016 
 2021-01-12 285.1953 
 2021-01-13 284.8795 
 2021-01-14 285.7978 
 2021-01-15 285.8697 
 2021-01-16 282.9988 
 2021-01-17 285.7109 
 2021-01-18 288.0179 
 2021-01-19   286.47 
 2021-01-20 286.8533 
 2021-01-21 288.1565 
 2021-01-22 290.7841 
 2021-01-23 288.3572 
 2021-01-24 286.3775 
 2021-01-25 286.4738 
 2021-01-26 286.8391 
 2021-01-27 287.0471 
 2021-01-28 287.1909 
 2021-01-29 287.5592 
 2021-01-30 287.4278 
 2021-01-31 289.1447 
 2021-02-01 290.6843 
 2021-02-02 291.1219 
 2021-02-03 290.5413 
 2021-02-04 288.5081 
 2021-02-05 287.3622 
 2021-02-06 289.4355 
 2021-02-07 290.7932 
 2021-02-08 291.4207 
 2021-02-09 292.1885 
 2021-02-10  291.704 
 2021-02-11 292.5501 
 2021-02-12 293.3489 
 2021-02-13 294.0046 
 2021-02-14 294.2557 
 2021-02-15 294.1544 
 2021-02-16  293.139 
 2021-02-17 293.0338 
 2021-02-18  293.156 
 2021-02-19 293.1648 
 2021-02-20 293.2818 
 2021-02-21 293.8862 
 2021-02-22 295.7129 
 2021-02-23 296.7444 
 2021-02-24 297.4519 
 2021-02-25 297.9156 
 2021-02-26  299.644 
 2021-02-27  296.174 
 2021-02-28 294.3214 
 2021-03-01 294.3983 
 2021-03-02 295.1125 
 2021-03-03 296.6674 
 2021-03-04 297.7322 
 2021-03-05 296.6872 
 2021-03-06 299.5667 
 2021-03-07 299.6487 
 2021-03-08 299.3693 
 2021-03-09 297.7004 
 2021-03-10 297.8186 
 2021-03-11 300.5785 
 2021-03-12 298.2099 
 2021-03-13 297.3245 
 2021-03-14 298.1475 
 2021-03-15 298.8151 
 2021-03-16 299.7134 
 2021-03-17 299.6431 
 2021-03-18 299.3839 
 2021-03-19 298.1603 
 2021-03-20 299.7444 
 2021-03-21 301.3003 
 2021-03-22 301.3133 
 2021-03-23 297.3348 
 2021-03-24 296.5087 
 2021-03-25 297.0411 
 2021-03-26 298.8158 
 2021-03-27  300.938 
 2021-03-28 304.1578 
 2021-03-29 304.8843 
 2021-03-30 301.8957 
 2021-03-31 299.3066 
 2021-04-01 299.2082 
 2021-04-02 298.8462 
 2021-04-03 300.3871 
 2021-04-04 302.2865 
 2021-04-05 303.3429 
 2021-04-06 301.7868 
 2021-04-07 298.4661 
 2021-04-08 299.0823 
 2021-04-09 301.0836 
 2021-04-10  301.955 
 2021-04-11 303.0159 
 2021-04-12 303.9816 
 2021-04-13 303.8636 
 2021-04-14 304.3499 
 2021-04-15 304.1793 
 2021-04-16 299.5594 
 2021-04-17 299.8092 
 2021-04-18 302.3132 
 2021-04-19  303.371 
 2021-04-20 297.5217 
 2021-04-21 296.6325 
 2021-04-22 301.8107 
 2021-04-23 298.8763 
 2021-04-24 299.0962 
 2021-04-25 302.6273 
 2021-04-26  304.696 
 2021-04-27 306.1198 
 2021-04-28 306.4286 
 2021-04-29 306.9753 
 2021-04-30 306.1935 
 2021-05-01 305.7989 
 2021-05-02 305.0391 
 2021-05-03 305.8557 
 2021-05-04 305.9973 
 2021-05-05 305.2394 
