#      date     time    value 
 2026-05-01 00:00:00 297.2991 
 2026-05-01 01:00:00 297.4484 
 2026-05-01 02:00:00 298.0088 
 2026-05-01 03:00:00 298.9947 
 2026-05-01 04:00:00 300.1609 
 2026-05-01 05:00:00 302.8933 
 2026-05-01 06:00:00 305.7361 
 2026-05-01 07:00:00  306.324 
 2026-05-01 08:00:00 307.3853 
 2026-05-01 09:00:00  307.615 
 2026-05-01 10:00:00 306.0322 
 2026-05-01 11:00:00 305.5823 
 2026-05-01 12:00:00 305.2083 
 2026-05-01 13:00:00 304.1716 
 2026-05-01 14:00:00 302.4607 
 2026-05-01 15:00:00 299.9164 
 2026-05-01 16:00:00 299.0764 
 2026-05-01 17:00:00 297.9088 
 2026-05-01 18:00:00 297.5733 
 2026-05-01 19:00:00 297.2321 
 2026-05-01 20:00:00 296.1873 
 2026-05-01 21:00:00 295.8287 
 2026-05-01 22:00:00 294.7728 
 2026-05-01 23:00:00 294.6719 
 2026-05-02 00:00:00 296.3699 
 2026-05-02 01:00:00 296.5966 
 2026-05-02 02:00:00 297.8786 
 2026-05-02 03:00:00 299.2202 
 2026-05-02 04:00:00 300.6241 
 2026-05-02 05:00:00 304.2771 
 2026-05-02 06:00:00 306.5142 
 2026-05-02 07:00:00 306.9861 
 2026-05-02 08:00:00 308.2048 
 2026-05-02 09:00:00 307.8936 
 2026-05-02 10:00:00 306.8318 
 2026-05-02 11:00:00 306.2871 
 2026-05-02 12:00:00 305.5354 
 2026-05-02 13:00:00 304.4568 
 2026-05-02 14:00:00 303.1153 
 2026-05-02 15:00:00 300.3065 
 2026-05-02 16:00:00  299.445 
 2026-05-02 17:00:00 298.1686 
 2026-05-02 18:00:00 297.9771 
 2026-05-02 19:00:00 297.8997 
 2026-05-02 20:00:00 296.9495 
 2026-05-02 21:00:00 297.0891 
 2026-05-02 22:00:00 295.6782 
 2026-05-02 23:00:00 295.4497 
 2026-05-03 00:00:00 296.6783 
 2026-05-03 01:00:00 297.0247 
 2026-05-03 02:00:00 298.0934 
 2026-05-03 03:00:00 298.9971 
 2026-05-03 04:00:00 300.9778 
 2026-05-03 05:00:00 304.8018 
 2026-05-03 06:00:00 306.7021 
 2026-05-03 07:00:00 307.2993 
 2026-05-03 08:00:00 308.8042 
 2026-05-03 09:00:00 308.3042 
 2026-05-03 10:00:00 307.1455 
 2026-05-03 11:00:00 307.0081 
 2026-05-03 12:00:00 306.2781 
 2026-05-03 13:00:00 305.1233 
 2026-05-03 14:00:00 302.9265 
 2026-05-03 15:00:00 300.4422 
 2026-05-03 16:00:00 299.7276 
 2026-05-03 17:00:00  298.813 
 2026-05-03 18:00:00  298.607 
 2026-05-03 19:00:00 298.0082 
 2026-05-03 20:00:00 297.1855 
 2026-05-03 21:00:00 296.8022 
 2026-05-03 22:00:00 295.7373 
 2026-05-03 23:00:00 295.5049 
 2026-05-04 00:00:00 297.5621 
 2026-05-04 01:00:00 297.3139 
 2026-05-04 02:00:00 298.4842 
 2026-05-04 03:00:00 299.1827 
 2026-05-04 04:00:00 299.9277 
 2026-05-04 05:00:00 302.4854 
 2026-05-04 06:00:00 305.8462 
 2026-05-04 07:00:00 306.4294 
 2026-05-04 08:00:00 308.0789 
 2026-05-04 09:00:00 308.1582 
 2026-05-04 10:00:00 306.7632 
 2026-05-04 11:00:00 306.4827 
