#      date     time    value 
 2000-01-01 00:00:00 281.3889 
 2000-01-01 01:00:00 280.7843 
 2000-01-01 02:00:00 280.2831 
 2000-01-01 03:00:00 280.8624 
 2000-01-01 04:00:00 284.3157 
 2000-01-01 05:00:00 287.4202 
 2000-01-01 06:00:00  290.072 
 2000-01-01 07:00:00 291.9554 
 2000-01-01 08:00:00  293.304 
 2000-01-01 09:00:00 294.0276 
 2000-01-01 10:00:00 294.4196 
 2000-01-01 11:00:00  294.364 
 2000-01-01 12:00:00 293.5486 
 2000-01-01 13:00:00 291.6787 
 2000-01-01 14:00:00 289.9857 
 2000-01-01 15:00:00 288.4925 
 2000-01-01 16:00:00 287.2149 
 2000-01-01 17:00:00 286.1187 
 2000-01-01 18:00:00 285.1511 
 2000-01-01 19:00:00 284.2733 
 2000-01-01 20:00:00 283.4801 
 2000-01-01 21:00:00 282.7695 
 2000-01-01 22:00:00 282.1251 
 2000-01-01 23:00:00 281.5502 
 2000-01-02 00:00:00 281.0037 
 2000-01-02 01:00:00 280.4922 
 2000-01-02 02:00:00 280.0082 
 2000-01-02 03:00:00 280.5316 
 2000-01-02 04:00:00 284.5387 
 2000-01-02 05:00:00 288.2809 
 2000-01-02 06:00:00 290.9235 
 2000-01-02 07:00:00 292.3067 
 2000-01-02 08:00:00 293.2232 
 2000-01-02 09:00:00 293.9066 
 2000-01-02 10:00:00 294.2546 
 2000-01-02 11:00:00 294.1085 
 2000-01-02 12:00:00  293.209 
 2000-01-02 13:00:00  291.287 
 2000-01-02 14:00:00 289.5989 
 2000-01-02 15:00:00 288.0832 
 2000-01-02 16:00:00 286.7386 
 2000-01-02 17:00:00  285.563 
 2000-01-02 18:00:00 284.5367 
 2000-01-02 19:00:00 283.7546 
 2000-01-02 20:00:00 282.9805 
 2000-01-02 21:00:00  282.232 
 2000-01-02 22:00:00 281.5278 
 2000-01-02 23:00:00 280.8326 
 2000-01-03 00:00:00 280.1305 
 2000-01-03 01:00:00 279.7385 
 2000-01-03 02:00:00 279.4266 
 2000-01-03 03:00:00 280.0269 
 2000-01-03 04:00:00 284.0715 
 2000-01-03 05:00:00  288.137 
 2000-01-03 06:00:00 290.4282 
 2000-01-03 07:00:00 291.5796 
 2000-01-03 08:00:00 292.6028 
 2000-01-03 09:00:00 293.3903 
 2000-01-03 10:00:00 293.7944 
 2000-01-03 11:00:00 293.7023 
 2000-01-03 12:00:00  292.965 
 2000-01-03 13:00:00 291.2922 
 2000-01-03 14:00:00 289.6108 
 2000-01-03 15:00:00 288.1023 
 2000-01-03 16:00:00 286.6882 
 2000-01-03 17:00:00 285.2921 
 2000-01-03 18:00:00 284.0645 
 2000-01-03 19:00:00 283.0967 
 2000-01-03 20:00:00 282.2668 
 2000-01-03 21:00:00 281.5329 
 2000-01-03 22:00:00 280.8811 
 2000-01-03 23:00:00 280.2897 
 2000-01-04 00:00:00 279.7559 
 2000-01-04 01:00:00 279.2963 
 2000-01-04 02:00:00 278.8578 
 2000-01-04 03:00:00 279.4429 
 2000-01-04 04:00:00 284.1747 
 2000-01-04 05:00:00 288.3781 
 2000-01-04 06:00:00  290.847 
 2000-01-04 07:00:00 292.1313 
 2000-01-04 08:00:00 293.0166 
 2000-01-04 09:00:00 293.5771 
 2000-01-04 10:00:00 293.8719 
 2000-01-04 11:00:00  293.796 
 2000-01-04 12:00:00 292.9514 
 2000-01-04 13:00:00 290.9348 
 2000-01-04 14:00:00  289.263 
 2000-01-04 15:00:00 287.8761 
 2000-01-04 16:00:00 286.6786 
 2000-01-04 17:00:00 285.6383 
 2000-01-04 18:00:00  284.704 
 2000-01-04 19:00:00 283.8216 
 2000-01-04 20:00:00 283.0149 
 2000-01-04 21:00:00  282.223 
 2000-01-04 22:00:00  281.367 
 2000-01-04 23:00:00 280.5377 
 2000-01-05 00:00:00 279.9078 
 2000-01-05 01:00:00  279.407 
 2000-01-05 02:00:00 279.0739 
 2000-01-05 03:00:00 279.7995 
 2000-01-05 04:00:00 284.0062 
 2000-01-05 05:00:00 287.8914 
 2000-01-05 06:00:00 290.4514 
 2000-01-05 07:00:00 291.4437 
 2000-01-05 08:00:00 292.3333 
 2000-01-05 09:00:00  292.952 
 2000-01-05 10:00:00 293.3329 
 2000-01-05 11:00:00 293.2208 
 2000-01-05 12:00:00 292.2562 
 2000-01-05 13:00:00  290.275 
 2000-01-05 14:00:00 288.5176 
 2000-01-05 15:00:00 287.0555 
 2000-01-05 16:00:00 285.8051 
 2000-01-05 17:00:00 284.7241 
 2000-01-05 18:00:00 283.6247 
 2000-01-05 19:00:00 282.3977 
 2000-01-05 20:00:00    281.3 
 2000-01-05 21:00:00  280.478 
 2000-01-05 22:00:00 279.9469 
 2000-01-05 23:00:00 279.3987 
 2000-01-06 00:00:00 281.2306 
 2000-01-06 01:00:00 281.0305 
 2000-01-06 02:00:00 280.8517 
 2000-01-06 03:00:00  279.878 
 2000-01-06 04:00:00 282.8108 
 2000-01-06 05:00:00 287.0869 
 2000-01-06 06:00:00 289.1731 
 2000-01-06 07:00:00 290.0717 
 2000-01-06 08:00:00 291.3066 
 2000-01-06 09:00:00 292.2263 
 2000-01-06 10:00:00 292.6116 
 2000-01-06 11:00:00 292.5154 
 2000-01-06 12:00:00 292.1051 
 2000-01-06 13:00:00 290.9359 
 2000-01-06 14:00:00 289.3637 
 2000-01-06 15:00:00 287.5154 
 2000-01-06 16:00:00 287.6852 
 2000-01-06 17:00:00 287.0399 
 2000-01-06 18:00:00  285.907 
 2000-01-06 19:00:00 282.3858 
 2000-01-06 20:00:00 281.4912 
 2000-01-06 21:00:00 280.7786 
 2000-01-06 22:00:00 280.1627 
 2000-01-06 23:00:00 279.6271 
 2000-01-07 00:00:00 279.0175 
 2000-01-07 01:00:00 278.6349 
 2000-01-07 02:00:00 278.3231 
 2000-01-07 03:00:00 279.1589 
