#      date     time    value 
 2026-05-01 00:00:00 302.2444 
 2026-05-01 01:00:00 302.3722 
 2026-05-01 02:00:00 302.7236 
 2026-05-01 03:00:00 302.8326 
 2026-05-01 04:00:00 302.8894 
 2026-05-01 05:00:00 303.5867 
 2026-05-01 06:00:00  304.781 
 2026-05-01 07:00:00  304.574 
 2026-05-01 08:00:00 305.1509 
 2026-05-01 09:00:00 304.9041 
 2026-05-01 10:00:00 304.4014 
 2026-05-01 11:00:00 304.2366 
 2026-05-01 12:00:00 303.7981 
 2026-05-01 13:00:00 303.7341 
 2026-05-01 14:00:00  303.283 
 2026-05-01 15:00:00 302.3636 
 2026-05-01 16:00:00 302.5725 
 2026-05-01 17:00:00 302.3482 
 2026-05-01 18:00:00 302.4522 
 2026-05-01 19:00:00 302.3297 
 2026-05-01 20:00:00 301.8572 
 2026-05-01 21:00:00 301.8365 
 2026-05-01 22:00:00 301.5228 
 2026-05-01 23:00:00 301.5372 
 2026-05-02 00:00:00 302.2292 
 2026-05-02 01:00:00 302.3915 
 2026-05-02 02:00:00 302.7497 
 2026-05-02 03:00:00 302.8179 
 2026-05-02 04:00:00 302.6651 
 2026-05-02 05:00:00 303.7205 
 2026-05-02 06:00:00 304.5259 
 2026-05-02 07:00:00 304.4412 
 2026-05-02 08:00:00 304.9197 
 2026-05-02 09:00:00 304.9346 
 2026-05-02 10:00:00 304.0955 
 2026-05-02 11:00:00  304.002 
 2026-05-02 12:00:00 304.0022 
 2026-05-02 13:00:00 303.8103 
 2026-05-02 14:00:00  303.377 
 2026-05-02 15:00:00 302.5057 
 2026-05-02 16:00:00 302.6129 
 2026-05-02 17:00:00 302.3171 
 2026-05-02 18:00:00 302.4282 
 2026-05-02 19:00:00 302.3665 
 2026-05-02 20:00:00 302.0061 
 2026-05-02 21:00:00 301.9954 
 2026-05-02 22:00:00 301.6372 
 2026-05-02 23:00:00 301.5649 
 2026-05-03 00:00:00 302.1138 
 2026-05-03 01:00:00 302.3098 
 2026-05-03 02:00:00 302.6793 
 2026-05-03 03:00:00 302.8154 
 2026-05-03 04:00:00 302.7747 
 2026-05-03 05:00:00 303.6631 
 2026-05-03 06:00:00 304.5713 
 2026-05-03 07:00:00 304.6548 
 2026-05-03 08:00:00 305.0815 
 2026-05-03 09:00:00 304.9624 
 2026-05-03 10:00:00 304.1318 
 2026-05-03 11:00:00 303.9006 
 2026-05-03 12:00:00 303.7664 
 2026-05-03 13:00:00 303.6096 
 2026-05-03 14:00:00 303.0632 
 2026-05-03 15:00:00 302.2059 
 2026-05-03 16:00:00  302.419 
 2026-05-03 17:00:00 302.2876 
 2026-05-03 18:00:00 302.4488 
 2026-05-03 19:00:00 302.4653 
 2026-05-03 20:00:00 302.2616 
 2026-05-03 21:00:00 302.3627 
 2026-05-03 22:00:00 301.7197 
 2026-05-03 23:00:00 301.8272 
 2026-05-04 00:00:00 302.4957 
 2026-05-04 01:00:00 302.4604 
 2026-05-04 02:00:00 302.7615 
 2026-05-04 03:00:00 302.9093 
 2026-05-04 04:00:00 302.7499 
