#      date     time    value 
 2026-05-01 00:00:00 301.6819 
 2026-05-01 01:00:00 301.6125 
 2026-05-01 02:00:00 302.5615 
 2026-05-01 03:00:00 302.9869 
 2026-05-01 04:00:00 303.0437 
 2026-05-01 05:00:00 304.9519 
 2026-05-01 06:00:00 308.1443 
 2026-05-01 07:00:00 308.9646 
 2026-05-01 08:00:00 312.1392 
 2026-05-01 09:00:00 313.0544 
 2026-05-01 10:00:00 313.4717 
 2026-05-01 11:00:00 314.1311 
 2026-05-01 12:00:00 313.3333 
 2026-05-01 13:00:00 311.8806 
 2026-05-01 14:00:00 308.7517 
 2026-05-01 15:00:00 305.2738 
 2026-05-01 16:00:00 304.6077 
 2026-05-01 17:00:00 303.4322 
 2026-05-01 18:00:00 303.7628 
 2026-05-01 19:00:00 303.7321 
 2026-05-01 20:00:00 302.8083 
 2026-05-01 21:00:00 302.5298 
 2026-05-01 22:00:00 301.4622 
 2026-05-01 23:00:00 301.2188 
 2026-05-02 00:00:00 302.2429 
 2026-05-02 01:00:00 302.0497 
 2026-05-02 02:00:00 302.9724 
 2026-05-02 03:00:00 303.3101 
 2026-05-02 04:00:00  303.337 
 2026-05-02 05:00:00 305.7517 
 2026-05-02 06:00:00 308.7544 
 2026-05-02 07:00:00 309.7224 
 2026-05-02 08:00:00 312.7244 
 2026-05-02 09:00:00 313.9775 
 2026-05-02 10:00:00 313.6462 
 2026-05-02 11:00:00  313.666 
 2026-05-02 12:00:00 312.6819 
 2026-05-02 13:00:00 311.1169 
 2026-05-02 14:00:00 308.5664 
 2026-05-02 15:00:00 305.5877 
 2026-05-02 16:00:00 304.9899 
 2026-05-02 17:00:00 304.2702 
 2026-05-02 18:00:00 303.9888 
 2026-05-02 19:00:00 303.5696 
 2026-05-02 20:00:00  302.387 
 2026-05-02 21:00:00 301.9348 
 2026-05-02 22:00:00 300.1489 
 2026-05-02 23:00:00 299.9712 
 2026-05-03 00:00:00 300.8619 
 2026-05-03 01:00:00 300.8782 
 2026-05-03 02:00:00 302.1207 
 2026-05-03 03:00:00 302.7588 
 2026-05-03 04:00:00 302.8098 
 2026-05-03 05:00:00 305.0576 
 2026-05-03 06:00:00 307.9561 
 2026-05-03 07:00:00 308.7954 
 2026-05-03 08:00:00 311.4233 
 2026-05-03 09:00:00 312.0835 
 2026-05-03 10:00:00 312.1318 
 2026-05-03 11:00:00 312.3264 
 2026-05-03 12:00:00 311.7058 
 2026-05-03 13:00:00 310.2542 
 2026-05-03 14:00:00 307.7429 
 2026-05-03 15:00:00 304.8484 
 2026-05-03 16:00:00 304.0987 
 2026-05-03 17:00:00 303.5239 
 2026-05-03 18:00:00  303.607 
 2026-05-03 19:00:00 303.0649 
 2026-05-03 20:00:00 302.3183 
 2026-05-03 21:00:00 302.5873 
 2026-05-03 22:00:00 301.4209 
 2026-05-03 23:00:00 301.3819 
 2026-05-04 00:00:00 302.1422 
 2026-05-04 01:00:00  302.103 
 2026-05-04 02:00:00 302.7947 
 2026-05-04 03:00:00 303.0851 
 2026-05-04 04:00:00 302.9062 
 2026-05-04 05:00:00 304.7744 
 2026-05-04 06:00:00 307.2388 
