#      date     time    value 
 2000-01-01 00:00:00 281.9651 
 2000-01-01 01:00:00 281.4308 
 2000-01-01 02:00:00 280.9588 
 2000-01-01 03:00:00 281.4249 
 2000-01-01 04:00:00 284.6125 
 2000-01-01 05:00:00 287.8792 
 2000-01-01 06:00:00 290.7361 
 2000-01-01 07:00:00 292.5745 
 2000-01-01 08:00:00 294.0931 
 2000-01-01 09:00:00  294.971 
 2000-01-01 10:00:00 295.3649 
 2000-01-01 11:00:00 295.2819 
 2000-01-01 12:00:00 294.5252 
 2000-01-01 13:00:00 292.5459 
 2000-01-01 14:00:00 290.8216 
 2000-01-01 15:00:00 289.3089 
 2000-01-01 16:00:00  288.043 
 2000-01-01 17:00:00 286.9215 
 2000-01-01 18:00:00 285.9206 
 2000-01-01 19:00:00 285.1092 
 2000-01-01 20:00:00 284.3766 
 2000-01-01 21:00:00 283.7812 
 2000-01-01 22:00:00 283.2032 
 2000-01-01 23:00:00 282.6498 
 2000-01-02 00:00:00 282.1404 
 2000-01-02 01:00:00  281.668 
 2000-01-02 02:00:00 281.2523 
 2000-01-02 03:00:00 281.5941 
 2000-01-02 04:00:00  284.775 
 2000-01-02 05:00:00 288.4977 
 2000-01-02 06:00:00 291.3923 
 2000-01-02 07:00:00 293.0177 
 2000-01-02 08:00:00 293.9947 
 2000-01-02 09:00:00 294.5648 
 2000-01-02 10:00:00  294.903 
 2000-01-02 11:00:00 294.8214 
 2000-01-02 12:00:00 294.0625 
 2000-01-02 13:00:00 292.0878 
 2000-01-02 14:00:00 290.4251 
 2000-01-02 15:00:00 288.9231 
 2000-01-02 16:00:00 287.5707 
 2000-01-02 17:00:00 286.2974 
 2000-01-02 18:00:00 285.1617 
 2000-01-02 19:00:00  284.444 
 2000-01-02 20:00:00 283.7246 
 2000-01-02 21:00:00 283.0211 
 2000-01-02 22:00:00 282.3168 
 2000-01-02 23:00:00 281.6685 
 2000-01-03 00:00:00 281.0114 
 2000-01-03 01:00:00 280.3928 
 2000-01-03 02:00:00 279.8387 
 2000-01-03 03:00:00 280.0504 
 2000-01-03 04:00:00 283.9914 
 2000-01-03 05:00:00 287.9768 
 2000-01-03 06:00:00 290.8364 
 2000-01-03 07:00:00 292.3765 
 2000-01-03 08:00:00 293.4232 
 2000-01-03 09:00:00 294.1696 
 2000-01-03 10:00:00 294.5464 
 2000-01-03 11:00:00 294.5207 
 2000-01-03 12:00:00 293.9924 
 2000-01-03 13:00:00 292.3977 
 2000-01-03 14:00:00 290.6655 
 2000-01-03 15:00:00  289.034 
 2000-01-03 16:00:00  287.571 
 2000-01-03 17:00:00 286.2393 
 2000-01-03 18:00:00 285.0411 
 2000-01-03 19:00:00 284.0753 
 2000-01-03 20:00:00 283.2336 
 2000-01-03 21:00:00 282.4509 
 2000-01-03 22:00:00 281.7697 
 2000-01-03 23:00:00 281.2018 
 2000-01-04 00:00:00 280.7246 
 2000-01-04 01:00:00 280.3021 
 2000-01-04 02:00:00 279.9399 
 2000-01-04 03:00:00 280.3355 
