#      date    value 
 2021-01-01 284.2379 
 2021-01-02 287.7943 
 2021-01-03  290.039 
 2021-01-04  290.748 
 2021-01-05 291.3793 
 2021-01-06 290.5773 
 2021-01-07 287.8795 
 2021-01-08 286.4228 
 2021-01-09 288.3824 
 2021-01-10 284.9431 
 2021-01-11 284.4221 
 2021-01-12 284.7339 
 2021-01-13 284.3564 
 2021-01-14 284.7154 
 2021-01-15 285.5346 
 2021-01-16 283.2585 
 2021-01-17 285.2167 
 2021-01-18 287.6634 
 2021-01-19 288.5461 
 2021-01-20 287.8171 
 2021-01-21 286.5923 
 2021-01-22 286.0898 
 2021-01-23 287.5249 
 2021-01-24 286.2333 
 2021-01-25 285.8432 
 2021-01-26 285.6686 
 2021-01-27 285.8243 
 2021-01-28 285.0684 
 2021-01-29  285.793 
 2021-01-30 285.6996 
 2021-01-31 286.9671 
 2021-02-01 287.9037 
 2021-02-02 288.1365 
 2021-02-03 289.9121 
 2021-02-04  287.288 
 2021-02-05 287.1406 
 2021-02-06 287.4284 
 2021-02-07 288.0582 
 2021-02-08 288.8279 
 2021-02-09 290.3127 
 2021-02-10 291.0256 
 2021-02-11 290.4717 
 2021-02-12 290.0243 
 2021-02-13 289.2778 
 2021-02-14 290.1214 
 2021-02-15 291.0476 
 2021-02-16 291.9163 
 2021-02-17 291.5595 
 2021-02-18 291.6556 
 2021-02-19 291.5004 
 2021-02-20 291.5747 
 2021-02-21 292.2114 
 2021-02-22 292.9321 
 2021-02-23  293.497 
 2021-02-24 294.6609 
 2021-02-25 295.4625 
 2021-02-26  296.307 
 2021-02-27 296.1581 
 2021-02-28 294.6753 
 2021-03-01  292.947 
 2021-03-02 293.5151 
 2021-03-03 294.1754 
 2021-03-04 294.9223 
 2021-03-05 295.5357 
 2021-03-06 295.3071 
 2021-03-07 296.9118 
 2021-03-08 296.9451 
 2021-03-09  296.813 
 2021-03-10 296.2018 
 2021-03-11 296.4228 
 2021-03-12 295.0375 
 2021-03-13 295.6883 
 2021-03-14 295.6667 
 2021-03-15 296.5146 
 2021-03-16 296.8341 
 2021-03-17 297.1223 
 2021-03-18 297.6057 
 2021-03-19  297.567 
 2021-03-20 297.2327 
 2021-03-21 297.4871 
 2021-03-22 297.8711 
 2021-03-23 297.2241 
 2021-03-24 297.1039 
 2021-03-25 295.8149 
 2021-03-26   295.89 
 2021-03-27 297.2578 
 2021-03-28 299.0076 
 2021-03-29 300.2805 
 2021-03-30 301.3381 
 2021-03-31  299.437 
 2021-04-01  297.778 
 2021-04-02 296.8159 
 2021-04-03  297.276 
 2021-04-04 298.9667 
 2021-04-05 301.9394 
 2021-04-06 302.6467 
 2021-04-07 300.9052 
 2021-04-08 299.3226 
 2021-04-09 299.6462 
 2021-04-10 300.4011 
 2021-04-11 301.3826 
 2021-04-12 301.8297 
 2021-04-13 303.0478 
 2021-04-14 303.3032 
 2021-04-15 303.0164 
 2021-04-16 303.2601 
 2021-04-17  300.164 
 2021-04-18 300.8582 
 2021-04-19 301.8997 
 2021-04-20 300.5782 
 2021-04-21 298.3694 
 2021-04-22  298.654 
 2021-04-23 298.8102 
 2021-04-24 298.9579 
 2021-04-25 300.6523 
 2021-04-26 302.3307 
 2021-04-27 304.5301 
 2021-04-28 304.7846 
 2021-04-29 304.9388 
 2021-04-30  304.256 
 2021-05-01 304.2996 
 2021-05-02 303.0203 
 2021-05-03 302.9937 
 2021-05-04 303.6763 
 2021-05-05 302.8052 
 2021-05-06 301.2841 
 2021-05-07 300.1726 
 2021-05-08 302.1826 
 2021-05-09 302.1421 
 2021-05-10 302.1454 
 2021-05-11 302.6023 
 2021-05-12 301.9203 
 2021-05-13 299.2272 
