#      date     time    value 
 2000-01-01 00:00:00 279.6428 
 2000-01-01 01:00:00 280.0363 
 2000-01-01 02:00:00 280.0135 
 2000-01-01 03:00:00 281.5928 
 2000-01-01 04:00:00 286.2356 
 2000-01-01 05:00:00 289.5511 
 2000-01-01 06:00:00 291.2615 
 2000-01-01 07:00:00 291.7425 
 2000-01-01 08:00:00   292.39 
 2000-01-01 09:00:00 292.7112 
 2000-01-01 10:00:00 292.6911 
 2000-01-01 11:00:00 292.1843 
 2000-01-01 12:00:00   290.99 
 2000-01-01 13:00:00 288.6709 
 2000-01-01 14:00:00  286.931 
 2000-01-01 15:00:00 285.3148 
 2000-01-01 16:00:00  284.002 
 2000-01-01 17:00:00 282.8238 
 2000-01-01 18:00:00 281.8054 
 2000-01-01 19:00:00 281.0252 
 2000-01-01 20:00:00 280.5133 
 2000-01-01 21:00:00 280.0801 
 2000-01-01 22:00:00 279.7716 
 2000-01-01 23:00:00 279.4936 
 2000-01-02 00:00:00 279.2264 
 2000-01-02 01:00:00 278.9414 
 2000-01-02 02:00:00 278.8304 
 2000-01-02 03:00:00 282.3597 
 2000-01-02 04:00:00 286.5738 
 2000-01-02 05:00:00  289.775 
 2000-01-02 06:00:00 291.4196 
 2000-01-02 07:00:00 292.0841 
 2000-01-02 08:00:00 292.7154 
 2000-01-02 09:00:00 293.0356 
 2000-01-02 10:00:00 293.0007 
 2000-01-02 11:00:00 292.4152 
 2000-01-02 12:00:00      291 
 2000-01-02 13:00:00  288.826 
 2000-01-02 14:00:00 287.0403 
 2000-01-02 15:00:00 285.7922 
 2000-01-02 16:00:00 284.7758 
 2000-01-02 17:00:00 283.9302 
 2000-01-02 18:00:00 283.3082 
 2000-01-02 19:00:00 282.5944 
 2000-01-02 20:00:00 282.0938 
 2000-01-02 21:00:00 281.5894 
 2000-01-02 22:00:00 281.1039 
 2000-01-02 23:00:00 280.6353 
 2000-01-03 00:00:00 280.1637 
 2000-01-03 01:00:00 279.7307 
 2000-01-03 02:00:00 279.3602 
 2000-01-03 03:00:00 281.5113 
 2000-01-03 04:00:00 286.1262 
 2000-01-03 05:00:00 289.2073 
 2000-01-03 06:00:00 291.3207 
 2000-01-03 07:00:00  291.937 
 2000-01-03 08:00:00   292.72 
 2000-01-03 09:00:00 293.1677 
 2000-01-03 10:00:00 293.1264 
 2000-01-03 11:00:00  292.425 
 2000-01-03 12:00:00 290.5724 
 2000-01-03 13:00:00 288.2863 
 2000-01-03 14:00:00 286.7182 
 2000-01-03 15:00:00 285.6336 
 2000-01-03 16:00:00  284.739 
 2000-01-03 17:00:00  283.921 
 2000-01-03 18:00:00   283.17 
 2000-01-03 19:00:00 282.1768 
 2000-01-03 20:00:00   281.55 
 2000-01-03 21:00:00 281.0368 
 2000-01-03 22:00:00 280.6213 
 2000-01-03 23:00:00 280.2643 
 2000-01-04 00:00:00 279.9375 
 2000-01-04 01:00:00 279.5677 
 2000-01-04 02:00:00 279.1567 
 2000-01-04 03:00:00 281.1519 
 2000-01-04 04:00:00 285.5223 
 2000-01-04 05:00:00 288.5851 
 2000-01-04 06:00:00 290.7943 
 2000-01-04 07:00:00 291.4301 
 2000-01-04 08:00:00 292.2744 
 2000-01-04 09:00:00 292.7158 
 2000-01-04 10:00:00 292.7118 
 2000-01-04 11:00:00 292.1573 
 2000-01-04 12:00:00 290.8772 
 2000-01-04 13:00:00 288.7922 
 2000-01-04 14:00:00 286.9485 
 2000-01-04 15:00:00 285.4562 
 2000-01-04 16:00:00 284.2372 
 2000-01-04 17:00:00 283.2106 
 2000-01-04 18:00:00 282.4032 
 2000-01-04 19:00:00 281.4075 
 2000-01-04 20:00:00 280.7238 
 2000-01-04 21:00:00 280.1644 
 2000-01-04 22:00:00 279.6775 
 2000-01-04 23:00:00 279.2838 
 2000-01-05 00:00:00 278.9899 
