#      date     time    value 
 2026-05-01 00:00:00 301.3577 
 2026-05-01 01:00:00 301.5304 
 2026-05-01 02:00:00 302.5654 
 2026-05-01 03:00:00 303.1607 
 2026-05-01 04:00:00 303.8913 
 2026-05-01 05:00:00 305.8035 
 2026-05-01 06:00:00 308.3923 
 2026-05-01 07:00:00 308.6814 
 2026-05-01 08:00:00 310.7661 
 2026-05-01 09:00:00 311.3455 
 2026-05-01 10:00:00 310.5752 
 2026-05-01 11:00:00  310.676 
 2026-05-01 12:00:00 310.6165 
 2026-05-01 13:00:00 308.6951 
 2026-05-01 14:00:00 307.9705 
 2026-05-01 15:00:00 305.9203 
 2026-05-01 16:00:00 305.1389 
 2026-05-01 17:00:00 302.5025 
 2026-05-01 18:00:00 300.9014 
 2026-05-01 19:00:00 301.2223 
 2026-05-01 20:00:00 300.6677 
 2026-05-01 21:00:00 300.6334 
 2026-05-01 22:00:00 300.1224 
 2026-05-01 23:00:00 299.8653 
 2026-05-02 00:00:00 302.3132 
 2026-05-02 01:00:00 302.5595 
 2026-05-02 02:00:00 303.9567 
 2026-05-02 03:00:00 304.0855 
 2026-05-02 04:00:00 304.4913 
 2026-05-02 05:00:00 307.2556 
 2026-05-02 06:00:00 309.6333 
 2026-05-02 07:00:00 310.3748 
 2026-05-02 08:00:00 312.3826 
 2026-05-02 09:00:00  312.292 
 2026-05-02 10:00:00 311.7927 
 2026-05-02 11:00:00 311.7168 
 2026-05-02 12:00:00 311.3909 
 2026-05-02 13:00:00 310.9607 
 2026-05-02 14:00:00 309.0157 
 2026-05-02 15:00:00 305.5682 
 2026-05-02 16:00:00 304.3727 
 2026-05-02 17:00:00 303.7643 
 2026-05-02 18:00:00  303.856 
 2026-05-02 19:00:00 303.7922 
 2026-05-02 20:00:00 302.5452 
 2026-05-02 21:00:00 303.0286 
 2026-05-02 22:00:00 301.1079 
 2026-05-02 23:00:00 299.8813 
 2026-05-03 00:00:00 301.7447 
 2026-05-03 01:00:00 302.2337 
 2026-05-03 02:00:00 304.1051 
 2026-05-03 03:00:00  304.665 
 2026-05-03 04:00:00 305.0149 
 2026-05-03 05:00:00 307.1123 
 2026-05-03 06:00:00 309.7412 
 2026-05-03 07:00:00 309.5415 
 2026-05-03 08:00:00 311.0601 
 2026-05-03 09:00:00 310.9429 
 2026-05-03 10:00:00 310.7412 
 2026-05-03 11:00:00 310.3928 
 2026-05-03 12:00:00 310.3132 
 2026-05-03 13:00:00 310.0686 
 2026-05-03 14:00:00 308.7722 
 2026-05-03 15:00:00 306.3895 
 2026-05-03 16:00:00 303.1104 
 2026-05-03 17:00:00 301.0376 
 2026-05-03 18:00:00 301.9488 
 2026-05-03 19:00:00 302.0668 
 2026-05-03 20:00:00 301.4101 
 2026-05-03 21:00:00 300.8295 
 2026-05-03 22:00:00 299.9384 
 2026-05-03 23:00:00 299.9737 
 2026-05-04 00:00:00 300.8004 
 2026-05-04 01:00:00 300.8159 
 2026-05-04 02:00:00 301.9295 
 2026-05-04 03:00:00 302.5812 
 2026-05-04 04:00:00 303.8456 
 2026-05-04 05:00:00 306.4209 
 2026-05-04 06:00:00 309.0103 
 2026-05-04 07:00:00 309.2458 
 2026-05-04 08:00:00 311.0984 
 2026-05-04 09:00:00  311.418 
 2026-05-04 10:00:00 310.5796 
 2026-05-04 11:00:00 310.6584 
 2026-05-04 12:00:00 310.1379 
 2026-05-04 13:00:00 310.4465 
 2026-05-04 14:00:00 308.6025 
 2026-05-04 15:00:00 303.8311 
 2026-05-04 16:00:00 304.3072 
 2026-05-04 17:00:00  303.276 
 2026-05-04 18:00:00 303.2375 
 2026-05-04 19:00:00 302.7972 
 2026-05-04 20:00:00 301.3924 
 2026-05-04 21:00:00 300.9322 
 2026-05-04 22:00:00 299.8795 
 2026-05-04 23:00:00 299.4721 
 2026-05-05 00:00:00 300.4458 
 2026-05-05 01:00:00 300.4954 
 2026-05-05 02:00:00 301.8007 
 2026-05-05 03:00:00 302.3665 
 2026-05-05 04:00:00  302.884 
 2026-05-05 05:00:00 305.0229 
 2026-05-05 06:00:00 307.7874 
 2026-05-05 07:00:00 308.9058 
 2026-05-05 08:00:00 310.5781 
 2026-05-05 09:00:00  310.947 
 2026-05-05 10:00:00 310.2234 
 2026-05-05 11:00:00 310.5535 
 2026-05-05 12:00:00 310.5088 
 2026-05-05 13:00:00 309.1306 
 2026-05-05 14:00:00 307.8206 
 2026-05-05 15:00:00 304.7901 
 2026-05-05 16:00:00 303.6782 
 2026-05-05 17:00:00  301.191 
 2026-05-05 18:00:00 300.9968 
 2026-05-05 19:00:00 300.5526 
 2026-05-05 20:00:00 299.6165 
 2026-05-05 21:00:00 299.3855 
 2026-05-05 22:00:00 298.3091 
 2026-05-05 23:00:00 298.1864 
 2026-05-06 00:00:00 299.6968 
 2026-05-06 01:00:00 299.7265 
 2026-05-06 02:00:00 300.1393 
 2026-05-06 03:00:00 300.6634 
 2026-05-06 04:00:00 300.9678 
 2026-05-06 05:00:00  303.373 
 2026-05-06 06:00:00 306.1235 
 2026-05-06 07:00:00 306.6587 
 2026-05-06 08:00:00 308.6584 
 2026-05-06 09:00:00  308.905 
 2026-05-06 10:00:00 307.6548 
 2026-05-06 11:00:00 308.1953 
 2026-05-06 12:00:00 308.3213 
 2026-05-06 13:00:00 307.8833 
 2026-05-06 14:00:00 306.7815 
 2026-05-06 15:00:00 303.8359 
 2026-05-06 16:00:00 303.7291 
 2026-05-06 17:00:00 302.0312 
 2026-05-06 18:00:00 301.4448 
 2026-05-06 19:00:00 301.0785 
 2026-05-06 20:00:00 300.1032 
 2026-05-06 21:00:00 299.8618 
 2026-05-06 22:00:00 298.4004 
 2026-05-06 23:00:00 298.1016 
 2026-05-24 00:00:00 300.9248 
 2026-05-24 01:00:00 301.0517 
 2026-05-24 02:00:00 301.8227 
 2026-05-24 03:00:00 302.1799 
 2026-05-24 04:00:00 302.7083 
 2026-05-24 05:00:00 305.3176 
 2026-05-24 06:00:00 307.9617 
 2026-05-24 07:00:00 308.9419 
 2026-05-24 08:00:00  311.343 
 2026-05-24 09:00:00 311.1758 
 2026-05-24 10:00:00 311.0759 
 2026-05-24 11:00:00 309.8896 
 2026-05-24 12:00:00 309.4299 
 2026-05-24 13:00:00 308.1313 
 2026-05-24 14:00:00 306.5427 
 2026-05-24 15:00:00 304.2507 
 2026-05-24 16:00:00 303.4395 
 2026-05-24 17:00:00 303.0354 
 2026-05-24 18:00:00 302.9392 
 2026-05-24 19:00:00 302.4553 
 2026-05-24 20:00:00 301.9809 
 2026-05-24 21:00:00 301.5792 
 2026-05-24 22:00:00 301.3672 
 2026-05-24 23:00:00 301.2462 
 2026-05-25 00:00:00 302.5453 
 2026-05-25 01:00:00 303.0225 
 2026-05-25 02:00:00 305.1152 
 2026-05-25 03:00:00 307.2126 
 2026-05-25 04:00:00 307.8254 
 2026-05-25 05:00:00 308.3738 
 2026-05-25 06:00:00 309.2104 
 2026-05-25 07:00:00 309.9668 
 2026-05-25 08:00:00 311.9622 
 2026-05-25 09:00:00 310.4268 
 2026-05-25 10:00:00 309.6333 
 2026-05-25 11:00:00 308.7058 
 2026-05-25 12:00:00 308.2253 
 2026-05-25 13:00:00  307.552 
 2026-05-25 14:00:00 306.5898 
 2026-05-25 15:00:00 303.4001 
 2026-05-25 16:00:00 303.6541 
 2026-05-25 17:00:00 303.5884 
 2026-05-25 18:00:00 303.5388 
 2026-05-25 19:00:00 303.6831 
 2026-05-25 20:00:00  302.804 
 2026-05-25 21:00:00 302.5711 
 2026-05-25 22:00:00 302.0087 
 2026-05-25 23:00:00 301.9802 
 2026-05-26 00:00:00 302.9141 
 2026-05-26 01:00:00 302.7507 
 2026-05-26 02:00:00  303.584 
 2026-05-26 03:00:00 303.8295 
 2026-05-26 04:00:00 304.2118 
 2026-05-26 05:00:00 306.5249 
 2026-05-26 06:00:00 308.9875 
 2026-05-26 07:00:00 309.3589 
 2026-05-26 08:00:00  311.593 
 2026-05-26 09:00:00  311.811 
 2026-05-26 10:00:00 310.7571 
 2026-05-26 11:00:00 310.8149 
 2026-05-26 12:00:00 310.9377 
 2026-05-26 13:00:00 310.2693 
 2026-05-26 14:00:00 308.7969 
 2026-05-26 15:00:00  305.624 
 2026-05-26 16:00:00 305.5862 
 2026-05-26 17:00:00 303.2114 
 2026-05-26 18:00:00 303.2932 
 2026-05-26 19:00:00 303.0854 
 2026-05-26 20:00:00 300.1127 
 2026-05-26 21:00:00 299.0699 
 2026-05-26 22:00:00 298.1287 
 2026-05-26 23:00:00 297.9198 
 2026-05-27 00:00:00 298.4203 
 2026-05-27 01:00:00 298.3941 
 2026-05-27 02:00:00 298.7716 
 2026-05-27 03:00:00 300.3321 
 2026-05-27 04:00:00 301.2681 
 2026-05-27 05:00:00  302.908 
 2026-05-27 06:00:00 304.1309 
 2026-05-27 07:00:00 304.2339 
 2026-05-27 08:00:00 305.6548 
 2026-05-27 09:00:00 306.2158 
 2026-05-27 10:00:00 305.6301 
 2026-05-27 11:00:00 305.7942 
