#      date     time    value 
 2000-01-01 00:00:00 280.0627 
 2000-01-01 01:00:00 279.8605 
 2000-01-01 02:00:00 279.4764 
 2000-01-01 03:00:00 281.4659 
 2000-01-01 04:00:00 285.3606 
 2000-01-01 05:00:00 288.6194 
 2000-01-01 06:00:00 291.0212 
 2000-01-01 07:00:00 292.2484 
 2000-01-01 08:00:00 293.1478 
 2000-01-01 09:00:00 293.6351 
 2000-01-01 10:00:00 293.7966 
 2000-01-01 11:00:00 293.4577 
 2000-01-01 12:00:00 292.3045 
 2000-01-01 13:00:00  290.247 
 2000-01-01 14:00:00 288.3021 
 2000-01-01 15:00:00 286.8265 
 2000-01-01 16:00:00 285.6661 
 2000-01-01 17:00:00 284.6676 
 2000-01-01 18:00:00 283.6198 
 2000-01-01 19:00:00 282.5174 
 2000-01-01 20:00:00 281.7789 
 2000-01-01 21:00:00 282.2305 
 2000-01-01 22:00:00 282.2169 
 2000-01-01 23:00:00 281.8236 
 2000-01-02 00:00:00 281.5018 
 2000-01-02 01:00:00  281.168 
 2000-01-02 02:00:00 280.8558 
 2000-01-02 03:00:00 281.5296 
 2000-01-02 04:00:00    285.4 
 2000-01-02 05:00:00 288.8473 
 2000-01-02 06:00:00 290.9743 
 2000-01-02 07:00:00 292.1153 
 2000-01-02 08:00:00 292.9439 
 2000-01-02 09:00:00  293.477 
 2000-01-02 10:00:00   293.61 
 2000-01-02 11:00:00 293.2238 
 2000-01-02 12:00:00 292.0195 
 2000-01-02 13:00:00 290.1327 
 2000-01-02 14:00:00 288.3646 
 2000-01-02 15:00:00  286.882 
 2000-01-02 16:00:00    285.6 
 2000-01-02 17:00:00 284.5025 
 2000-01-02 18:00:00 283.5055 
 2000-01-02 19:00:00 282.5182 
 2000-01-02 20:00:00 281.6582 
 2000-01-02 21:00:00 281.3336 
 2000-01-02 22:00:00 281.4555 
 2000-01-02 23:00:00 281.6001 
 2000-01-03 00:00:00 280.6012 
 2000-01-03 01:00:00 279.2249 
 2000-01-03 02:00:00 278.7156 
 2000-01-03 03:00:00 280.6441 
 2000-01-03 04:00:00 285.5246 
 2000-01-03 05:00:00 288.7288 
 2000-01-03 06:00:00 290.7739 
 2000-01-03 07:00:00 291.6108 
 2000-01-03 08:00:00 292.6517 
 2000-01-03 09:00:00 293.2888 
 2000-01-03 10:00:00 293.4272 
 2000-01-03 11:00:00 293.0207 
 2000-01-03 12:00:00 291.6857 
 2000-01-03 13:00:00 289.7844 
 2000-01-03 14:00:00 288.0561 
 2000-01-03 15:00:00 286.6687 
 2000-01-03 16:00:00  285.407 
 2000-01-03 17:00:00  284.169 
 2000-01-03 18:00:00 283.1016 
 2000-01-03 19:00:00 282.4366 
 2000-01-03 20:00:00 282.0149 
 2000-01-03 21:00:00 281.6364 
 2000-01-03 22:00:00 280.9338 
 2000-01-03 23:00:00 280.5104 
 2000-01-04 00:00:00      280 
 2000-01-04 01:00:00 279.3861 
 2000-01-04 02:00:00 278.7797 
 2000-01-04 03:00:00 281.0347 
 2000-01-04 04:00:00 285.5126 
 2000-01-04 05:00:00 288.8625 
 2000-01-04 06:00:00 290.8138 
 2000-01-04 07:00:00 291.7036 
 2000-01-04 08:00:00 292.6435 
 2000-01-04 09:00:00 293.2334 
 2000-01-04 10:00:00 293.3895 
 2000-01-04 11:00:00 293.0167 
 2000-01-04 12:00:00 291.7834 
 2000-01-04 13:00:00 289.8254 
 2000-01-04 14:00:00 288.0482 
 2000-01-04 15:00:00 286.4542 
 2000-01-04 16:00:00 284.9071 
 2000-01-04 17:00:00 283.7262 
 2000-01-04 18:00:00 283.1435 
 2000-01-04 19:00:00 282.9153 
 2000-01-04 20:00:00 282.3586 
 2000-01-04 21:00:00  281.348 
 2000-01-04 22:00:00 281.1873 
 2000-01-04 23:00:00 281.1685 
 2000-01-05 00:00:00 280.8297 
 2000-01-05 01:00:00 280.5554 
 2000-01-05 02:00:00  279.402 
 2000-01-05 03:00:00 280.8874 
 2000-01-05 04:00:00 284.9222 
 2000-01-05 05:00:00 288.3348 
 2000-01-05 06:00:00 290.3635 
 2000-01-05 07:00:00 291.1429 
 2000-01-05 08:00:00 292.0872 
 2000-01-05 09:00:00 292.6766 
 2000-01-05 10:00:00 292.8309 
 2000-01-05 11:00:00 292.4376 
 2000-01-05 12:00:00 290.9828 
 2000-01-05 13:00:00 288.7965 
 2000-01-05 14:00:00 286.9786 
 2000-01-05 15:00:00 285.6122 
 2000-01-05 16:00:00  284.475 
 2000-01-05 17:00:00 283.5287 
 2000-01-05 18:00:00 282.6969 
 2000-01-05 19:00:00  281.845 
 2000-01-05 20:00:00 281.2238 
 2000-01-05 21:00:00 280.6342 
 2000-01-05 22:00:00 280.1031 
 2000-01-05 23:00:00 279.6018 
 2000-01-06 00:00:00 279.0997 
 2000-01-06 01:00:00 278.4914 
 2000-01-06 02:00:00 278.0998 
 2000-01-06 03:00:00 279.9307 
 2000-01-06 04:00:00 284.6643 
 2000-01-06 05:00:00 287.8994 
 2000-01-06 06:00:00 289.8059 
 2000-01-06 07:00:00 290.7768 
 2000-01-06 08:00:00  291.752 
 2000-01-06 09:00:00 292.2634 
 2000-01-06 10:00:00 292.4377 
 2000-01-06 11:00:00 292.0213 
 2000-01-06 12:00:00 290.6812 
 2000-01-06 13:00:00 288.8714 
 2000-01-06 14:00:00 287.0102 
 2000-01-06 15:00:00 285.5739 
 2000-01-06 16:00:00  284.693 
 2000-01-06 17:00:00 283.6844 
 2000-01-06 18:00:00 282.6843 
 2000-01-06 19:00:00 281.6338 
 2000-01-06 20:00:00 280.8759 
 2000-01-06 21:00:00 280.4641 
 2000-01-06 22:00:00 280.1041 
 2000-01-06 23:00:00  280.258 
 2000-01-07 00:00:00 280.7284 
 2000-01-07 01:00:00 279.1622 
 2000-01-07 02:00:00 278.1512 
 2000-01-07 03:00:00  279.907 
 2000-01-07 04:00:00  285.254 
 2000-01-07 05:00:00 288.5897 
 2000-01-07 06:00:00 290.4972 
 2000-01-07 07:00:00 290.9411 
 2000-01-07 08:00:00 292.0412 
 2000-01-07 09:00:00 292.7011 
 2000-01-07 10:00:00 292.8618 
 2000-01-07 11:00:00 292.5045 
 2000-01-07 12:00:00 291.5817 
 2000-01-07 13:00:00 289.8461 
 2000-01-07 14:00:00  287.954 
 2000-01-07 15:00:00 286.2362 
 2000-01-07 16:00:00 284.7604 
 2000-01-07 17:00:00 283.8584 
 2000-01-07 18:00:00 282.8778 
 2000-01-07 19:00:00 282.4136 
 2000-01-07 20:00:00 282.3442 
 2000-01-07 21:00:00 282.2233 
 2000-01-07 22:00:00 281.6619 
 2000-01-07 23:00:00 281.1248 
 2000-01-08 00:00:00 280.5559 
 2000-01-08 01:00:00 280.2801 
 2000-01-08 02:00:00  280.127 
 2000-01-08 03:00:00 281.4171 
 2000-01-08 04:00:00 285.6585 
 2000-01-08 05:00:00  288.886 
