#      date     time    value 
 2000-01-01 00:00:00   279.51 
 2000-01-01 01:00:00 279.1398 
 2000-01-01 02:00:00 278.8514 
 2000-01-01 03:00:00 282.2784 
 2000-01-01 04:00:00 286.5637 
 2000-01-01 05:00:00  289.639 
 2000-01-01 06:00:00 291.3826 
 2000-01-01 07:00:00 291.9359 
 2000-01-01 08:00:00 292.6068 
 2000-01-01 09:00:00 292.9163 
 2000-01-01 10:00:00 292.8747 
 2000-01-01 11:00:00 292.3151 
 2000-01-01 12:00:00 291.0388 
 2000-01-01 13:00:00 289.0322 
 2000-01-01 14:00:00 287.1868 
 2000-01-01 15:00:00 285.6566 
 2000-01-01 16:00:00 284.4747 
 2000-01-01 17:00:00 283.5094 
 2000-01-01 18:00:00 282.7682 
 2000-01-01 19:00:00 282.0995 
 2000-01-01 20:00:00 281.6383 
 2000-01-01 21:00:00 281.2715 
 2000-01-01 22:00:00 280.9474 
 2000-01-01 23:00:00 280.7104 
 2000-01-02 00:00:00 280.4901 
 2000-01-02 01:00:00   280.25 
 2000-01-02 02:00:00 279.9984 
 2000-01-02 03:00:00 282.1566 
 2000-01-02 04:00:00 286.8824 
 2000-01-02 05:00:00 290.0035 
 2000-01-02 06:00:00 291.7438 
 2000-01-02 07:00:00  292.461 
 2000-01-02 08:00:00 293.1021 
 2000-01-02 09:00:00 293.3969 
 2000-01-02 10:00:00 293.3268 
 2000-01-02 11:00:00 292.6827 
 2000-01-02 12:00:00 291.1035 
 2000-01-02 13:00:00 288.8397 
 2000-01-02 14:00:00 287.1888 
 2000-01-02 15:00:00 286.1106 
 2000-01-02 16:00:00 285.2406 
 2000-01-02 17:00:00 284.4888 
 2000-01-02 18:00:00 283.8942 
 2000-01-02 19:00:00 283.2097 
 2000-01-02 20:00:00 282.8203 
 2000-01-02 21:00:00 282.4507 
 2000-01-02 22:00:00 282.0434 
 2000-01-02 23:00:00 281.6704 
 2000-01-03 00:00:00 281.2906 
 2000-01-03 01:00:00 280.9709 
 2000-01-03 02:00:00 280.6727 
 2000-01-03 03:00:00 282.4605 
