#      date    value 
 2021-01-01 285.2618 
 2021-01-02 287.0696 
 2021-01-03 288.4394 
 2021-01-04 289.0529 
 2021-01-05 289.1202 
 2021-01-06 286.9179 
 2021-01-07 285.8614 
 2021-01-08 285.5603 
 2021-01-09 285.2155 
 2021-01-10 285.1778 
 2021-01-11 285.7337 
 2021-01-12 286.2133 
 2021-01-13 286.1048 
 2021-01-14 286.4328 
 2021-01-15 286.1355 
 2021-01-16 283.3501 
 2021-01-17 285.0079 
 2021-01-18 286.5636 
 2021-01-19 285.8293 
 2021-01-20 287.2598 
 2021-01-21 289.0922 
 2021-01-22 291.0478 
 2021-01-23 288.0591 
 2021-01-24 286.3681 
 2021-01-25 286.4373 
 2021-01-26 286.3712 
 2021-01-27 286.5043 
 2021-01-28 286.7486 
 2021-01-29 286.8963 
 2021-01-30 287.4709 
 2021-01-31 289.7003 
 2021-02-01 290.0439 
 2021-02-02 290.6082 
 2021-02-03  290.368 
 2021-02-04 288.3182 
 2021-02-05 288.2769 
 2021-02-06 289.3185 
 2021-02-07 290.6482 
 2021-02-08 291.9762 
 2021-02-09 292.3692 
 2021-02-10  291.865 
 2021-02-11 292.5636 
 2021-02-12 293.7409 
 2021-02-13 294.4786 
 2021-02-14 294.4516 
 2021-02-15 294.1132 
 2021-02-16 293.3397 
 2021-02-17  293.352 
 2021-02-18 293.6884 
 2021-02-19 293.7978 
 2021-02-20 294.0304 
 2021-02-21 294.6078 
 2021-02-22 297.3259 
 2021-02-23 296.7863 
 2021-02-24 297.1917 
 2021-02-25 297.5541 
 2021-02-26 299.8954 
 2021-02-27 295.6479 
 2021-02-28  294.345 
 2021-03-01 294.9203 
 2021-03-02  295.395 
 2021-03-03  297.335 
 2021-03-04  297.025 
 2021-03-05 296.7938 
 2021-03-06 299.7759 
 2021-03-07  298.713 
 2021-03-08 298.1907 
 2021-03-09 297.5195 
 2021-03-10  298.421 
 2021-03-11 300.2446 
 2021-03-12 296.5132 
 2021-03-13 296.6028 
 2021-03-14 297.9322 
 2021-03-15 298.8721 
 2021-03-16 299.9756 
 2021-03-17 299.5255 
 2021-03-18 299.1835 
 2021-03-19 298.7315 
 2021-03-20 299.6755 
 2021-03-21 301.2135 
 2021-03-22  299.553 
 2021-03-23 296.2178 
 2021-03-24 296.1979 
 2021-03-25 297.1702 
 2021-03-26 299.2659 
 2021-03-27 301.2024 
 2021-03-28 305.0789 
 2021-03-29 305.1327 
 2021-03-30 301.7674 
 2021-03-31 299.8712 
 2021-04-01 299.8511 
 2021-04-02 299.9344 
 2021-04-03  301.274 
 2021-04-04 302.8723 
 2021-04-05 302.9383 
 2021-04-06 301.3276 
 2021-04-07 298.2924 
 2021-04-08 299.4109 
 2021-04-09 301.5648 
 2021-04-10 302.4487 
 2021-04-11 303.5465 
 2021-04-12 304.2347 
 2021-04-13 304.1621 
 2021-04-14 304.9575 
 2021-04-15 304.4165 
 2021-04-16 299.0361 
 2021-04-17  299.873 
 2021-04-18 302.7377 
 2021-04-19 303.7335 
 2021-04-20  297.212 
 2021-04-21 297.6396 
 2021-04-22  302.548 
 2021-04-23 298.8294 
 2021-04-24  299.859 
 2021-04-25 303.1023 
 2021-04-26   305.48 
 2021-04-27 306.4052 
 2021-04-28 307.1644 
 2021-04-29 306.8478 
 2021-04-30 306.4768 
 2021-05-01  305.893 
 2021-05-02 304.9234 
 2021-05-03 306.1298 
 2021-05-04 306.3245 
 2021-05-05 305.4994 
 2021-05-06 303.7354 
 2021-05-07 303.2522 
 2021-05-08 305.9402 
