#      date     time    value 
 2026-05-01 00:00:00 301.7718 
 2026-05-01 01:00:00 301.8644 
 2026-05-01 02:00:00 302.2373 
 2026-05-01 03:00:00 302.4166 
 2026-05-01 04:00:00 302.6023 
 2026-05-01 05:00:00 303.5183 
 2026-05-01 06:00:00 304.7576 
 2026-05-01 07:00:00 304.8884 
 2026-05-01 08:00:00 305.2661 
 2026-05-01 09:00:00 305.2791 
 2026-05-01 10:00:00 304.6025 
 2026-05-01 11:00:00 304.5764 
 2026-05-01 12:00:00 304.4993 
 2026-05-01 13:00:00 304.2244 
 2026-05-01 14:00:00 303.6541 
 2026-05-01 15:00:00 302.5804 
 2026-05-01 16:00:00 302.4983 
 2026-05-01 17:00:00 302.2037 
 2026-05-01 18:00:00 302.1631 
 2026-05-01 19:00:00 301.7574 
 2026-05-01 20:00:00 301.0974 
 2026-05-01 21:00:00 300.7486 
 2026-05-01 22:00:00 300.5306 
 2026-05-01 23:00:00 300.4551 
 2026-05-02 00:00:00 301.3406 
 2026-05-02 01:00:00 301.3349 
 2026-05-02 02:00:00 302.0173 
 2026-05-02 03:00:00  302.189 
 2026-05-02 04:00:00 302.4464 
 2026-05-02 05:00:00 303.8845 
 2026-05-02 06:00:00 304.7231 
 2026-05-02 07:00:00 304.8005 
 2026-05-02 08:00:00 305.2908 
 2026-05-02 09:00:00 305.6064 
 2026-05-02 10:00:00 305.0798 
 2026-05-02 11:00:00 305.0801 
 2026-05-02 12:00:00 305.0139 
 2026-05-02 13:00:00 304.7166 
 2026-05-02 14:00:00 304.4239 
 2026-05-02 15:00:00  303.369 
 2026-05-02 16:00:00 303.1579 
 2026-05-02 17:00:00 302.6901 
 2026-05-02 18:00:00 302.7388 
 2026-05-02 19:00:00  302.636 
 2026-05-02 20:00:00 302.1506 
 2026-05-02 21:00:00 302.1829 
 2026-05-02 22:00:00 301.6372 
 2026-05-02 23:00:00 301.4165 
 2026-05-03 00:00:00 301.9205 
 2026-05-03 01:00:00 301.8723 
 2026-05-03 02:00:00 302.4215 
 2026-05-03 03:00:00 302.5576 
 2026-05-03 04:00:00 302.9172 
 2026-05-03 05:00:00 304.3838 
 2026-05-03 06:00:00  305.042 
 2026-05-03 07:00:00 305.0532 
 2026-05-03 08:00:00 305.5601 
 2026-05-03 09:00:00 305.7241 
 2026-05-03 10:00:00 305.1025 
 2026-05-03 11:00:00 304.8694 
 2026-05-03 12:00:00 304.7781 
 2026-05-03 13:00:00 304.4709 
 2026-05-03 14:00:00 303.6648 
 2026-05-03 15:00:00 302.7469 
