#      date     time    value 
 2000-01-01 00:00:00 282.2717 
 2000-01-01 01:00:00 281.7335 
 2000-01-01 02:00:00 281.2342 
 2000-01-01 03:00:00 281.8135 
 2000-01-01 04:00:00 284.9094 
 2000-01-01 05:00:00 287.9925 
 2000-01-01 06:00:00 290.7302 
 2000-01-01 07:00:00 292.5452 
 2000-01-01 08:00:00 293.9857 
 2000-01-01 09:00:00 294.8069 
 2000-01-01 10:00:00 295.1579 
 2000-01-01 11:00:00 295.0143 
 2000-01-01 12:00:00 294.0349 
 2000-01-01 13:00:00  291.872 
 2000-01-01 14:00:00 290.1907 
 2000-01-01 15:00:00 288.8499 
 2000-01-01 16:00:00 287.7442 
 2000-01-01 17:00:00 286.7574 
 2000-01-01 18:00:00  285.864 
 2000-01-01 19:00:00 285.1288 
 2000-01-01 20:00:00 284.4371 
 2000-01-01 21:00:00 283.8496 
 2000-01-01 22:00:00 283.2852 
 2000-01-01 23:00:00 282.7768 
 2000-01-02 00:00:00 282.2908 
 2000-01-02 01:00:00 281.8418 
 2000-01-02 02:00:00 281.4164 
 2000-01-02 03:00:00 281.8753 
 2000-01-02 04:00:00 285.3551 
 2000-01-02 05:00:00 288.8278 
 2000-01-02 06:00:00 291.5544 
 2000-01-02 07:00:00 293.0235 
 2000-01-02 08:00:00 293.9244 
 2000-01-02 09:00:00 294.4438 
 2000-01-02 10:00:00 294.7233 
 2000-01-02 11:00:00 294.5616 
 2000-01-02 12:00:00 293.5508 
 2000-01-02 13:00:00 291.3729 
 2000-01-02 14:00:00 289.7513 
 2000-01-02 15:00:00 288.4367 
 2000-01-02 16:00:00 287.3051 
 2000-01-02 17:00:00  286.229 
 2000-01-02 18:00:00 285.2535 
 2000-01-02 19:00:00 284.6472 
 2000-01-02 20:00:00 284.0137 
 2000-01-02 21:00:00 283.3629 
 2000-01-02 22:00:00 282.7211 
 2000-01-02 23:00:00 282.0708 
 2000-01-03 00:00:00 281.3746 
 2000-01-03 01:00:00 280.7502 
 2000-01-03 02:00:00 280.1981 
 2000-01-03 03:00:00 280.5562 
 2000-01-03 04:00:00 284.6965 
 2000-01-03 05:00:00 288.4202 
 2000-01-03 06:00:00 291.0141 
 2000-01-03 07:00:00 292.3706 
 2000-01-03 08:00:00 293.3763 
 2000-01-03 09:00:00  294.072 
 2000-01-03 10:00:00 294.4038 
 2000-01-03 11:00:00 294.2883 
 2000-01-03 12:00:00 293.5236 
 2000-01-03 13:00:00 291.6203 
 2000-01-03 14:00:00 289.8881 
 2000-01-03 15:00:00 288.5222 
 2000-01-03 16:00:00 287.3523 
 2000-01-03 17:00:00 286.2686 
 2000-01-03 18:00:00 285.2989 
 2000-01-03 19:00:00 284.4444 
 2000-01-03 20:00:00 283.7083 
 2000-01-03 21:00:00   282.99 
 2000-01-03 22:00:00 282.3459 
 2000-01-03 23:00:00 281.7311 
 2000-01-04 00:00:00 281.2148 
 2000-01-04 01:00:00 280.7592 
 2000-01-04 02:00:00 280.3735 
 2000-01-04 03:00:00  280.855 
 2000-01-04 04:00:00 284.8407 
 2000-01-04 05:00:00 288.7609 
 2000-01-04 06:00:00 291.5755 
 2000-01-04 07:00:00 293.1079 
 2000-01-04 08:00:00 293.9716 
 2000-01-04 09:00:00 294.4932 
 2000-01-04 10:00:00 294.7684 
 2000-01-04 11:00:00 294.6847 
 2000-01-04 12:00:00  293.717 
