#      date    value 
 2021-01-01 285.2338 
 2021-01-02 287.0908 
 2021-01-03 288.3753 
 2021-01-04 289.0955 
 2021-01-05 289.0177 
 2021-01-06 286.8737 
 2021-01-07 286.0315 
 2021-01-08    285.6 
 2021-01-09 285.1932 
 2021-01-10 285.1987 
 2021-01-11 285.7355 
 2021-01-12 286.2615 
 2021-01-13 286.2664 
 2021-01-14 286.4619 
 2021-01-15 286.1198 
 2021-01-16 283.3809 
 2021-01-17 284.8835 
 2021-01-18 286.3613 
 2021-01-19  285.748 
 2021-01-20  287.333 
 2021-01-21 289.1193 
 2021-01-22 290.9851 
 2021-01-23 288.0172 
 2021-01-24 286.3438 
 2021-01-25 286.4163 
 2021-01-26 286.3199 
 2021-01-27 286.5214 
 2021-01-28 286.7736 
 2021-01-29 286.9271 
 2021-01-30 287.5006 
 2021-01-31 289.6927 
 2021-02-01 289.9605 
 2021-02-02  290.589 
 2021-02-03 290.4043 
 2021-02-04 288.3707 
 2021-02-05 288.3736 
 2021-02-06 289.3592 
 2021-02-07 290.8455 
 2021-02-08 292.1202 
 2021-02-09 292.3896 
 2021-02-10 291.9366 
 2021-02-11 292.6084 
 2021-02-12 293.8087 
 2021-02-13 294.5235 
 2021-02-14 294.4917 
 2021-02-15 294.1479 
 2021-02-16 293.4008 
 2021-02-17 293.3872 
 2021-02-18 293.7748 
 2021-02-19 293.8719 
 2021-02-20 294.1335 
 2021-02-21 294.6857 
 2021-02-22 297.4178 
 2021-02-23 296.8375 
 2021-02-24 297.1844 
 2021-02-25 297.5731 
 2021-02-26 299.9071 
 2021-02-27 295.6252 
 2021-02-28 294.3752 
 2021-03-01 294.9846 
 2021-03-02 295.5292 
 2021-03-03 297.3953 
 2021-03-04 297.0427 
 2021-03-05 296.8987 
 2021-03-06 299.8753 
 2021-03-07 298.7777 
 2021-03-08 298.2083 
 2021-03-09 297.6183 
 2021-03-10 298.5115 
 2021-03-11    300.3 
 2021-03-12 296.4862 
 2021-03-13 296.6398 
 2021-03-14  298.001 
 2021-03-15 298.9329 
 2021-03-16 300.0427 
 2021-03-17 299.5947 
 2021-03-18 299.1503 
 2021-03-19 298.8234 
 2021-03-20 299.7595 
 2021-03-21 301.1988 
 2021-03-22 299.3448 
 2021-03-23 296.1543 
 2021-03-24 296.2054 
 2021-03-25 297.2628 
 2021-03-26 299.3944 
 2021-03-27 301.2915 
 2021-03-28 305.1181 
 2021-03-29  305.228 
 2021-03-30 301.8389 
 2021-03-31 299.9472 
 2021-04-01 299.9478 
 2021-04-02 300.0561 
 2021-04-03 301.3492 
 2021-04-04 302.9263 
 2021-04-05 302.9248 
 2021-04-06 301.2643 
 2021-04-07 298.3517 
 2021-04-08 299.4947 
 2021-04-09 301.6416 
 2021-04-10 302.5329 
 2021-04-11 303.6385 
 2021-04-12 304.3176 
 2021-04-13 304.2627 
 2021-04-14 305.0392 
 2021-04-15  304.379 
 2021-04-16 299.0447 
 2021-04-17 299.9222 
 2021-04-18 302.8459 
 2021-04-19 303.8052 
 2021-04-20 297.0083 
 2021-04-21 297.5687 
 2021-04-22 302.6031 
 2021-04-23 298.8729 
 2021-04-24 299.9609 
 2021-04-25 303.2318 
 2021-04-26 305.5538 
 2021-04-27 306.4856 
 2021-04-28 307.2393 
 2021-04-29 306.8225 
 2021-04-30 306.4059 
 2021-05-01 306.0705 
 2021-05-02 305.1871 
 2021-05-03 306.2407 
 2021-05-04 306.4376 
 2021-05-05 305.5896 
 2021-05-06 303.7846 
 2021-05-07  303.282 
 2021-05-08 305.9813 
 2021-05-09 307.4181 
 2021-05-10 307.3832 
 2021-05-11 306.7396 
 2021-05-12 305.6442 
 2021-05-13 305.0517 
 2021-05-14 305.0167 
 2021-05-15 305.6818 
 2021-05-16 306.4849 
 2021-05-17 307.0813 
 2021-05-18 302.9723 
 2021-05-19 300.7013 
 2021-05-20 306.0248 
 2021-05-21 306.9637 
 2021-05-22 306.2167 
 2021-05-23   303.67 
 2021-05-24 305.7851 
 2021-05-25 307.6561 
 2021-05-26   308.44 
 2021-05-27  310.147 
 2021-05-28 311.2441 
 2021-05-29 311.4949 
 2021-05-30 311.1032 
 2021-05-31 309.2625 
 2021-06-01 306.2507 
 2021-06-02 306.2015 
 2021-06-03  306.733 
 2021-06-04 307.5511 
 2021-06-05 307.3922 
 2021-06-06  308.537 
 2021-06-07 310.7887 
 2021-06-08 310.5125 
 2021-06-09 310.2473 
 2021-06-10 310.0915 
 2021-06-11 309.6384 
 2021-06-12 309.4912 
 2021-06-13 309.2571 
 2021-06-14 306.9868 
 2021-06-15 305.9009 
 2021-06-16 304.4716 
 2021-06-17 304.8778 
 2021-06-18 306.5733 
 2021-06-19 308.1828 
 2021-06-20 308.7966 
 2021-06-21   308.34 
 2021-06-22 309.5668 
 2021-06-23  310.164 
 2021-06-24  310.369 
 2021-06-25 310.0252 
 2021-06-26 308.7189 
 2021-06-27 309.1855 
 2021-06-28 309.8983 
 2021-06-29 311.9046 
 2021-06-30 310.7472 
 2021-07-01 309.6891 
 2021-07-02 309.1165 
 2021-07-03 308.9262 
 2021-07-04  309.162 
 2021-07-05 309.5691 
 2021-07-06 310.3545 
 2021-07-07 310.8848 
 2021-07-08  310.231 
 2021-07-09 310.1605 
 2021-07-10 310.7923 
 2021-07-11 311.8906 
 2021-07-12 307.8819 
 2021-07-13 305.5684 
 2021-07-14  306.771 
 2021-07-15 307.2377 
 2021-07-16 308.4897 
