#      date     time    value 
 2000-01-01 00:00:00 282.2756 
 2000-01-01 01:00:00 281.7413 
 2000-01-01 02:00:00 281.2479 
 2000-01-01 03:00:00 281.7823 
 2000-01-01 04:00:00  284.843 
 2000-01-01 05:00:00 287.9437 
 2000-01-01 06:00:00 290.7107 
 2000-01-01 07:00:00 292.5374 
 2000-01-01 08:00:00 294.0032 
 2000-01-01 09:00:00 294.8421 
 2000-01-01 10:00:00 295.2087 
 2000-01-01 11:00:00 295.0847 
 2000-01-01 12:00:00 294.1951 
 2000-01-01 13:00:00 292.0947 
 2000-01-01 14:00:00 290.4134 
 2000-01-01 15:00:00 289.0316 
 2000-01-01 16:00:00 287.8887 
 2000-01-01 17:00:00 286.8687 
 2000-01-01 18:00:00 285.9479 
 2000-01-01 19:00:00 285.1971 
 2000-01-01 20:00:00 284.4918 
 2000-01-01 21:00:00 283.9062 
 2000-01-01 22:00:00  283.338 
 2000-01-01 23:00:00 282.8256 
 2000-01-02 00:00:00 282.3416 
 2000-01-02 01:00:00 281.8809 
 2000-01-02 02:00:00 281.4437 
 2000-01-02 03:00:00 281.8675 
 2000-01-02 04:00:00 285.2437 
 2000-01-02 05:00:00 288.7301 
 2000-01-02 06:00:00 291.5016 
 2000-01-02 07:00:00 293.0157 
 2000-01-02 08:00:00 293.9283 
 2000-01-02 09:00:00 294.4594 
 2000-01-02 10:00:00 294.7585 
 2000-01-02 11:00:00 294.6241 
 2000-01-02 12:00:00 293.7188 
 2000-01-02 13:00:00 291.6132 
 2000-01-02 14:00:00 289.9818 
 2000-01-02 15:00:00 288.6184 
 2000-01-02 16:00:00 287.4398 
 2000-01-02 17:00:00 286.3286 
 2000-01-02 18:00:00 285.3219 
 2000-01-02 19:00:00 284.7038 
 2000-01-02 20:00:00 284.0567 
 2000-01-02 21:00:00  283.398 
 2000-01-02 22:00:00 282.7485 
 2000-01-02 23:00:00 282.0943 
 2000-01-03 00:00:00  281.402 
 2000-01-03 01:00:00 280.7815 
 2000-01-03 02:00:00 280.2254 
 2000-01-03 03:00:00 280.5328 
 2000-01-03 04:00:00 284.5266 
 2000-01-03 05:00:00 288.2717 
 2000-01-03 06:00:00 290.9536 
 2000-01-03 07:00:00 292.3687 
 2000-01-03 08:00:00  293.386 
 2000-01-03 09:00:00 294.0993 
 2000-01-03 10:00:00 294.4526 
 2000-01-03 11:00:00 294.3723 
 2000-01-03 12:00:00 293.7053 
 2000-01-03 13:00:00 291.8879 
 2000-01-03 14:00:00 290.1537 
 2000-01-03 15:00:00 288.7293 
 2000-01-03 16:00:00 287.5007 
 2000-01-03 17:00:00 286.3741 
 2000-01-03 18:00:00  285.377 
 2000-01-03 19:00:00 284.5206 
 2000-01-03 20:00:00 283.7668 
 2000-01-03 21:00:00 283.0329 
 2000-01-03 22:00:00 282.3772 
 2000-01-03 23:00:00 281.7585 
 2000-01-04 00:00:00 281.2363 
 2000-01-04 01:00:00 280.7767 
 2000-01-04 02:00:00 280.3891 
 2000-01-04 03:00:00 280.8277 
 2000-01-04 04:00:00 284.6844 
 2000-01-04 05:00:00 288.6496 
 2000-01-04 06:00:00 291.5403 
 2000-01-04 07:00:00 293.1137 
 2000-01-04 08:00:00 293.9834 
 2000-01-04 09:00:00 294.5146 
 2000-01-04 10:00:00 294.8134 
 2000-01-04 11:00:00 294.7589 
 2000-01-04 12:00:00 293.9143 
 2000-01-04 13:00:00 291.7161 
 2000-01-04 14:00:00 290.0364 
 2000-01-04 15:00:00 288.7159 
 2000-01-04 16:00:00 287.6336 
 2000-01-04 17:00:00  286.691 
 2000-01-04 18:00:00 285.8368 
 2000-01-04 19:00:00 285.1282 
 2000-01-04 20:00:00  284.343 
 2000-01-04 21:00:00 283.5062 
 2000-01-04 22:00:00 282.6189 
 2000-01-04 23:00:00 281.8463 
 2000-01-05 00:00:00 281.1754 
 2000-01-05 01:00:00 280.8035 
 2000-01-05 02:00:00 280.5094 
 2000-01-05 03:00:00 281.1784 
 2000-01-05 04:00:00 284.7757 
 2000-01-05 05:00:00 288.4618 
 2000-01-05 06:00:00 291.1389 
 2000-01-05 07:00:00 292.3148 
 2000-01-05 08:00:00 293.2278 
 2000-01-05 09:00:00 293.8368 
 2000-01-05 10:00:00 294.1102 
 2000-01-05 11:00:00 293.9786 
 2000-01-05 12:00:00 293.0863 
 2000-01-05 13:00:00 290.9235 
 2000-01-05 14:00:00 289.1817 
 2000-01-05 15:00:00 287.6981 
 2000-01-05 16:00:00 286.4203 
 2000-01-05 17:00:00 285.3178 
 2000-01-05 18:00:00 284.2497 
 2000-01-05 19:00:00 283.1614 
 2000-01-05 20:00:00 282.3273 
 2000-01-05 21:00:00 281.6577 
 2000-01-05 22:00:00 280.8883 
 2000-01-05 23:00:00 280.4787 
 2000-01-06 00:00:00  280.088 
 2000-01-06 01:00:00 279.0735 
 2000-01-06 02:00:00 278.8673 
 2000-01-06 03:00:00 279.2471 
 2000-01-06 04:00:00 283.3049 
 2000-01-06 05:00:00 287.3915 
 2000-01-06 06:00:00 289.7766 
 2000-01-06 07:00:00 290.9018 
 2000-01-06 08:00:00 292.1484 
 2000-01-06 09:00:00 292.9666 
 2000-01-06 10:00:00 293.4514 
 2000-01-06 11:00:00 293.4842 
 2000-01-06 12:00:00   293.15 
 2000-01-06 13:00:00 291.9202 
 2000-01-06 14:00:00 290.2036 
 2000-01-06 15:00:00 288.6716 
 2000-01-06 16:00:00  287.484 
 2000-01-06 17:00:00 286.3544 
 2000-01-06 18:00:00 285.2878 
 2000-01-06 19:00:00 284.0166 
 2000-01-06 20:00:00 283.1806 
 2000-01-06 21:00:00 282.4856 
 2000-01-06 22:00:00  281.772 
 2000-01-06 23:00:00 281.0959 
 2000-01-07 00:00:00 280.5624 
 2000-01-07 01:00:00 280.1075 
 2000-01-07 02:00:00 279.8348 
 2000-01-07 03:00:00 280.5066 
 2000-01-07 04:00:00  284.465 
 2000-01-07 05:00:00 288.5858 
 2000-01-07 06:00:00  291.839 
 2000-01-07 07:00:00  293.611 
 2000-01-07 08:00:00 294.7443 
 2000-01-07 09:00:00 295.4453 
 2000-01-07 10:00:00  295.811 
 2000-01-07 11:00:00 295.6412 
 2000-01-07 12:00:00 295.0114 
 2000-01-07 13:00:00 292.5765 
 2000-01-07 14:00:00 290.5927 
 2000-01-07 15:00:00 289.2499 
 2000-01-07 16:00:00  287.989 
 2000-01-07 17:00:00 287.3819 
 2000-01-07 18:00:00 286.8759 
 2000-01-07 19:00:00 286.6401 
 2000-01-07 20:00:00 286.0474 
 2000-01-07 21:00:00 285.5846 
 2000-01-07 22:00:00 285.3865 
 2000-01-07 23:00:00 285.1208 
 2000-01-08 00:00:00 284.6125 
 2000-01-08 01:00:00 284.0789 
 2000-01-08 02:00:00 283.3634 
 2000-01-08 03:00:00 283.6378 
 2000-01-08 04:00:00 286.0628 
 2000-01-08 05:00:00 288.9504 
 2000-01-08 06:00:00  291.567 
 2000-01-08 07:00:00 293.2263 
 2000-01-08 08:00:00 293.7876 
 2000-01-08 09:00:00 294.5985 
 2000-01-08 10:00:00 294.8345 
 2000-01-08 11:00:00 294.7467 
 2000-01-08 12:00:00 293.8203 
 2000-01-08 13:00:00 291.7075 
 2000-01-08 14:00:00 290.1865 
 2000-01-08 15:00:00 288.8566 
 2000-01-08 16:00:00 288.0635 
 2000-01-08 17:00:00 287.0989 
 2000-01-08 18:00:00 286.5015 
 2000-01-08 19:00:00 286.0542 
 2000-01-08 20:00:00 285.7001 
 2000-01-08 21:00:00 285.2716 
 2000-01-08 22:00:00 284.9509 
 2000-01-08 23:00:00 284.5013 
 2000-01-09 00:00:00 284.0505 
 2000-01-09 01:00:00 283.7295 
 2000-01-09 02:00:00 283.3774 
 2000-01-09 03:00:00 283.8383 
 2000-01-09 04:00:00  285.588 
 2000-01-09 05:00:00 287.7879 
 2000-01-09 06:00:00 289.4318 
 2000-01-09 07:00:00 292.5004 
 2000-01-09 08:00:00 293.8183 
 2000-01-09 09:00:00 294.6154 
 2000-01-09 10:00:00 295.0061 
 2000-01-09 11:00:00 294.8177 
 2000-01-09 12:00:00  294.109 
 2000-01-09 13:00:00 292.8203 
 2000-01-09 14:00:00 291.4871 
 2000-01-09 15:00:00 290.0996 
 2000-01-09 16:00:00 289.0426 
 2000-01-09 17:00:00 288.4601 
 2000-01-09 18:00:00 287.9497 
 2000-01-09 19:00:00 286.5085 
 2000-01-09 20:00:00 285.5827 
 2000-01-09 21:00:00  284.779 
 2000-01-09 22:00:00 284.1889 
 2000-01-09 23:00:00 283.8177 
 2000-01-10 00:00:00 283.6398 
 2000-01-10 01:00:00 283.4637 
 2000-01-10 02:00:00 283.6153 
 2000-01-10 03:00:00 284.1732 
 2000-01-10 04:00:00 285.8031 
 2000-01-10 05:00:00 287.7788 
 2000-01-10 06:00:00 289.7422 
 2000-01-10 07:00:00 290.6947 
 2000-01-10 08:00:00 291.3206 
 2000-01-10 09:00:00 292.0856 
 2000-01-10 10:00:00  292.416 
 2000-01-10 11:00:00 292.3747 
 2000-01-10 12:00:00 291.8585 
 2000-01-10 13:00:00 290.6229 
 2000-01-10 14:00:00 289.7014 
 2000-01-10 15:00:00 288.9512 
 2000-01-10 16:00:00 288.3466 
 2000-01-10 17:00:00 287.6621 
 2000-01-10 18:00:00 287.0117 
 2000-01-10 19:00:00   286.23 
